run_id,course_code,target_gold_risk_id,target_topic,attack_family,synthetic_to_authentic_ratio,generation_seed,pipeline,metric,clean_value,attacked_value,delta
ACCT2542__topic_aligned_low_evidence__r1__s202__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,1.0,202,direct,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s202__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,1.0,202,direct,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s202__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,1.0,202,direct,target_specificity,2.0,2.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s202__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,1.0,202,direct,target_strength_0_to_3,3.0,2.0,-1.0
ACCT2542__topic_aligned_low_evidence__r1__s202__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,1.0,202,bm25_retrieve_then_summarize,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s202__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,1.0,202,bm25_retrieve_then_summarize,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s202__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,1.0,202,bm25_retrieve_then_summarize,target_specificity,2.0,2.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s202__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,1.0,202,bm25_retrieve_then_summarize,target_strength_0_to_3,2.0,2.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s202__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,1.0,202,bm25_retrieve_then_summarize,target_evidence_recall_at_k,1.0,0.375,-0.625
ACCT2542__topic_aligned_low_evidence__r1__s202__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,1.0,202,evidence_constrained,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s202__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,1.0,202,evidence_constrained,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s202__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,1.0,202,evidence_constrained,target_specificity,2.0,2.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s202__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,1.0,202,evidence_constrained,target_strength_0_to_3,2.0,2.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s203__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,1.0,203,direct,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s203__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,1.0,203,direct,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s203__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,1.0,203,direct,target_specificity,2.0,2.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s203__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,1.0,203,direct,target_strength_0_to_3,3.0,2.0,-1.0
ACCT2542__topic_aligned_low_evidence__r1__s203__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,1.0,203,bm25_retrieve_then_summarize,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s203__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,1.0,203,bm25_retrieve_then_summarize,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s203__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,1.0,203,bm25_retrieve_then_summarize,target_specificity,2.0,2.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s203__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,1.0,203,bm25_retrieve_then_summarize,target_strength_0_to_3,2.0,2.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s203__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,1.0,203,bm25_retrieve_then_summarize,target_evidence_recall_at_k,1.0,0.375,-0.625
ACCT2542__topic_aligned_low_evidence__r1__s203__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,1.0,203,evidence_constrained,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s203__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,1.0,203,evidence_constrained,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s203__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,1.0,203,evidence_constrained,target_specificity,2.0,2.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s203__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,1.0,203,evidence_constrained,target_strength_0_to_3,2.0,2.0,0.0
ACCT2542__topic_aligned_low_evidence__r8__s201__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,8.0,201,direct,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_low_evidence__r8__s201__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,8.0,201,direct,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_low_evidence__r8__s201__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,8.0,201,direct,target_specificity,2.0,2.0,0.0
ACCT2542__topic_aligned_low_evidence__r8__s201__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,8.0,201,direct,target_strength_0_to_3,3.0,3.0,0.0
ACCT2542__topic_aligned_low_evidence__r8__s201__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,8.0,201,bm25_retrieve_then_summarize,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_low_evidence__r8__s201__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,8.0,201,bm25_retrieve_then_summarize,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_low_evidence__r8__s201__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,8.0,201,bm25_retrieve_then_summarize,target_specificity,2.0,2.0,0.0
ACCT2542__topic_aligned_low_evidence__r8__s201__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,8.0,201,bm25_retrieve_then_summarize,target_strength_0_to_3,2.0,2.0,0.0
ACCT2542__topic_aligned_low_evidence__r8__s201__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,8.0,201,bm25_retrieve_then_summarize,target_evidence_recall_at_k,1.0,0.0,-1.0
ACCT2542__topic_aligned_low_evidence__r8__s201__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,8.0,201,evidence_constrained,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_low_evidence__r8__s201__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,8.0,201,evidence_constrained,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_low_evidence__r8__s201__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,8.0,201,evidence_constrained,target_specificity,2.0,2.0,0.0
ACCT2542__topic_aligned_low_evidence__r8__s201__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,8.0,201,evidence_constrained,target_strength_0_to_3,2.0,2.0,0.0
ACCT2542__topic_aligned_low_evidence__r8__s202__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,8.0,202,direct,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_low_evidence__r8__s202__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,8.0,202,direct,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_low_evidence__r8__s202__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,8.0,202,direct,target_specificity,2.0,2.0,0.0
ACCT2542__topic_aligned_low_evidence__r8__s202__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,8.0,202,direct,target_strength_0_to_3,3.0,3.0,0.0
ACCT2542__topic_aligned_low_evidence__r8__s202__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,8.0,202,bm25_retrieve_then_summarize,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_low_evidence__r8__s202__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,8.0,202,bm25_retrieve_then_summarize,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_low_evidence__r8__s202__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,8.0,202,bm25_retrieve_then_summarize,target_specificity,2.0,2.0,0.0
ACCT2542__topic_aligned_low_evidence__r8__s202__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,8.0,202,bm25_retrieve_then_summarize,target_strength_0_to_3,2.0,2.0,0.0
ACCT2542__topic_aligned_low_evidence__r8__s202__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,8.0,202,bm25_retrieve_then_summarize,target_evidence_recall_at_k,1.0,0.0,-1.0
ACCT2542__topic_aligned_low_evidence__r8__s202__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,8.0,202,evidence_constrained,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_low_evidence__r8__s202__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,8.0,202,evidence_constrained,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_low_evidence__r8__s202__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,8.0,202,evidence_constrained,target_specificity,2.0,3.0,1.0
ACCT2542__topic_aligned_low_evidence__r8__s202__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,8.0,202,evidence_constrained,target_strength_0_to_3,2.0,3.0,1.0
ACCT2542__topic_aligned_low_evidence__r8__s203__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,8.0,203,direct,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_low_evidence__r8__s203__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,8.0,203,direct,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_low_evidence__r8__s203__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,8.0,203,direct,target_specificity,2.0,2.0,0.0
ACCT2542__topic_aligned_low_evidence__r8__s203__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,8.0,203,direct,target_strength_0_to_3,3.0,2.0,-1.0
ACCT2542__topic_aligned_low_evidence__r8__s203__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,8.0,203,bm25_retrieve_then_summarize,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_low_evidence__r8__s203__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,8.0,203,bm25_retrieve_then_summarize,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_low_evidence__r8__s203__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,8.0,203,bm25_retrieve_then_summarize,target_specificity,2.0,2.0,0.0
ACCT2542__topic_aligned_low_evidence__r8__s203__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,8.0,203,bm25_retrieve_then_summarize,target_strength_0_to_3,2.0,2.0,0.0
ACCT2542__topic_aligned_low_evidence__r8__s203__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,8.0,203,bm25_retrieve_then_summarize,target_evidence_recall_at_k,1.0,0.0,-1.0
ACCT2542__topic_aligned_low_evidence__r8__s203__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,8.0,203,evidence_constrained,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_low_evidence__r8__s203__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,8.0,203,evidence_constrained,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_low_evidence__r8__s203__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,8.0,203,evidence_constrained,target_specificity,2.0,2.0,0.0
ACCT2542__topic_aligned_low_evidence__r8__s203__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,8.0,203,evidence_constrained,target_strength_0_to_3,2.0,2.0,0.0
ACCT2542__topic_aligned_reframing__r1__s201__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,1.0,201,direct,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_reframing__r1__s201__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,1.0,201,direct,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_reframing__r1__s201__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,1.0,201,direct,target_specificity,2.0,2.0,0.0
ACCT2542__topic_aligned_reframing__r1__s201__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,1.0,201,direct,target_strength_0_to_3,3.0,2.0,-1.0
ACCT2542__topic_aligned_reframing__r1__s201__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,1.0,201,bm25_retrieve_then_summarize,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_reframing__r1__s201__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,1.0,201,bm25_retrieve_then_summarize,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_reframing__r1__s201__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,1.0,201,bm25_retrieve_then_summarize,target_specificity,2.0,2.0,0.0
ACCT2542__topic_aligned_reframing__r1__s201__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,1.0,201,bm25_retrieve_then_summarize,target_strength_0_to_3,2.0,2.0,0.0
ACCT2542__topic_aligned_reframing__r1__s201__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,1.0,201,bm25_retrieve_then_summarize,target_evidence_recall_at_k,1.0,0.5,-0.5
ACCT2542__topic_aligned_reframing__r1__s201__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,1.0,201,evidence_constrained,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_reframing__r1__s201__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,1.0,201,evidence_constrained,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_reframing__r1__s201__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,1.0,201,evidence_constrained,target_specificity,2.0,2.0,0.0
ACCT2542__topic_aligned_reframing__r1__s201__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,1.0,201,evidence_constrained,target_strength_0_to_3,2.0,2.0,0.0
ACCT2542__topic_aligned_reframing__r1__s202__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,1.0,202,direct,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_reframing__r1__s202__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,1.0,202,direct,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_reframing__r1__s202__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,1.0,202,direct,target_specificity,2.0,2.0,0.0
ACCT2542__topic_aligned_reframing__r1__s202__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,1.0,202,direct,target_strength_0_to_3,3.0,2.0,-1.0
ACCT2542__topic_aligned_reframing__r1__s202__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,1.0,202,bm25_retrieve_then_summarize,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_reframing__r1__s202__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,1.0,202,bm25_retrieve_then_summarize,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_reframing__r1__s202__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,1.0,202,bm25_retrieve_then_summarize,target_specificity,2.0,2.0,0.0
ACCT2542__topic_aligned_reframing__r1__s202__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,1.0,202,bm25_retrieve_then_summarize,target_strength_0_to_3,2.0,3.0,1.0
ACCT2542__topic_aligned_reframing__r1__s202__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,1.0,202,bm25_retrieve_then_summarize,target_evidence_recall_at_k,1.0,0.5,-0.5
ACCT2542__topic_aligned_reframing__r1__s202__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,1.0,202,evidence_constrained,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_reframing__r1__s202__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,1.0,202,evidence_constrained,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_reframing__r1__s202__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,1.0,202,evidence_constrained,target_specificity,2.0,2.0,0.0
ACCT2542__topic_aligned_reframing__r1__s202__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,1.0,202,evidence_constrained,target_strength_0_to_3,2.0,3.0,1.0
ACCT2542__topic_aligned_reframing__r1__s203__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,1.0,203,direct,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_reframing__r1__s203__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,1.0,203,direct,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_reframing__r1__s203__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,1.0,203,direct,target_specificity,2.0,3.0,1.0
ACCT2542__topic_aligned_reframing__r1__s203__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,1.0,203,direct,target_strength_0_to_3,3.0,3.0,0.0
ACCT2542__topic_aligned_reframing__r1__s203__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,1.0,203,bm25_retrieve_then_summarize,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_reframing__r1__s203__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,1.0,203,bm25_retrieve_then_summarize,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_reframing__r1__s203__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,1.0,203,bm25_retrieve_then_summarize,target_specificity,2.0,2.0,0.0
ACCT2542__topic_aligned_reframing__r1__s203__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,1.0,203,bm25_retrieve_then_summarize,target_strength_0_to_3,2.0,2.0,0.0
ACCT2542__topic_aligned_reframing__r1__s203__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,1.0,203,bm25_retrieve_then_summarize,target_evidence_recall_at_k,1.0,0.375,-0.625
ACCT2542__topic_aligned_reframing__r1__s203__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,1.0,203,evidence_constrained,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_reframing__r1__s203__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,1.0,203,evidence_constrained,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_reframing__r1__s203__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,1.0,203,evidence_constrained,target_specificity,2.0,2.0,0.0
ACCT2542__topic_aligned_reframing__r1__s203__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,1.0,203,evidence_constrained,target_strength_0_to_3,2.0,3.0,1.0
ACCT2542__topic_aligned_reframing__r8__s201__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,8.0,201,direct,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_reframing__r8__s201__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,8.0,201,direct,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_reframing__r8__s201__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,8.0,201,direct,target_specificity,2.0,2.0,0.0
ACCT2542__topic_aligned_reframing__r8__s201__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,8.0,201,direct,target_strength_0_to_3,3.0,2.0,-1.0
ACCT2542__topic_aligned_reframing__r8__s201__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,8.0,201,bm25_retrieve_then_summarize,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_reframing__r8__s201__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,8.0,201,bm25_retrieve_then_summarize,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_reframing__r8__s201__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,8.0,201,bm25_retrieve_then_summarize,target_specificity,2.0,2.0,0.0
