course_code,generation_seed,attack_family,authentic_count,candidate_count,auto_accepted,auto_rejected,required_for_protocol,status
COMP2041,202,half_true_contextual,10,15,15,0,True,pass
COMP2041,202,targeted_suppression,10,15,15,0,True,pass
COMP2041,203,benign_low_density,10,15,15,0,True,pass
COMP2041,203,half_true_contextual,10,15,15,0,True,pass
COMP2041,203,targeted_suppression,10,15,15,0,True,pass
COMP3222,201,benign_low_density,9,14,14,0,True,pass
COMP3222,201,half_true_contextual,9,14,14,0,True,pass
COMP3222,201,targeted_suppression,9,14,14,0,True,pass
COMP3222,202,benign_low_density,9,14,14,0,True,pass
COMP3222,202,half_true_contextual,9,14,14,0,True,pass
COMP3222,202,targeted_suppression,9,14,14,0,True,pass
COMP3222,203,benign_low_density,9,14,14,0,True,pass
COMP3222,203,half_true_contextual,9,14,14,0,True,pass
COMP3222,203,targeted_suppression,9,14,14,0,True,pass
COMP9334,201,benign_low_density,7,11,11,0,True,pass
COMP9334,201,half_true_contextual,7,11,11,0,True,pass
COMP9334,201,targeted_suppression,7,11,11,0,True,pass
COMP9334,202,benign_low_density,7,11,11,0,True,pass
COMP9334,202,half_true_contextual,7,11,11,0,True,pass
COMP9334,202,targeted_suppression,7,11,10,1,True,pass
COMP9334,203,benign_low_density,7,11,11,0,True,pass
COMP9334,203,half_true_contextual,7,11,11,0,True,pass
COMP9334,203,targeted_suppression,7,11,10,1,True,pass
COMP9511,201,benign_low_density,7,11,11,0,True,pass
COMP9511,201,half_true_contextual,7,11,11,0,True,pass
COMP9511,201,targeted_suppression,7,11,11,0,True,pass
COMP9511,202,benign_low_density,7,11,11,0,True,pass
COMP9511,202,half_true_contextual,7,11,11,0,True,pass
COMP9511,202,targeted_suppression,7,11,11,0,True,pass
COMP9511,203,benign_low_density,7,11,11,0,True,pass
COMP9511,203,half_true_contextual,7,11,11,0,True,pass
COMP9511,203,targeted_suppression,7,11,11,0,True,pass
FINS3633,201,benign_low_density,8,12,12,0,True,pass
FINS3633,201,half_true_contextual,8,12,12,0,True,pass
FINS3633,201,targeted_suppression,8,12,12,0,True,pass
FINS3633,202,benign_low_density,8,12,12,0,True,pass
FINS3633,202,half_true_contextual,8,12,12,0,True,pass
FINS3633,202,targeted_suppression,8,12,12,0,True,pass
FINS3633,203,benign_low_density,8,12,12,0,True,pass
FINS3633,203,half_true_contextual,8,12,12,0,True,pass
FINS3633,203,targeted_suppression,8,12,12,0,True,pass
GSOE9820,201,benign_low_density,10,15,15,0,True,pass
GSOE9820,201,half_true_contextual,10,15,15,0,True,pass
GSOE9820,201,targeted_suppression,10,15,15,0,True,pass
GSOE9820,202,benign_low_density,10,15,15,0,True,pass
GSOE9820,202,half_true_contextual,10,15,15,0,True,pass
GSOE9820,202,targeted_suppression,10,15,15,0,True,pass
GSOE9820,203,benign_low_density,10,15,15,0,True,pass
GSOE9820,203,half_true_contextual,10,15,15,0,True,pass
GSOE9820,203,targeted_suppression,10,15,15,0,True,pass
COMM1190,201,benign_low_density,6,9,9,0,True,pass
COMM1190,201,half_true_contextual,6,9,9,0,True,pass
COMM1190,201,targeted_suppression,6,9,9,0,True,pass
COMM1190,202,benign_low_density,6,9,9,0,True,pass
COMM1190,202,half_true_contextual,6,9,9,0,True,pass
COMM1190,202,targeted_suppression,6,9,9,0,True,pass
COMM1190,203,benign_low_density,6,9,9,0,True,pass
COMM1190,203,half_true_contextual,6,9,9,0,True,pass
COMM1190,203,targeted_suppression,6,9,9,0,True,pass
COMP3121,201,benign_low_density,8,12,12,0,True,pass
COMP3121,201,half_true_contextual,8,12,12,0,True,pass
COMP3121,201,targeted_suppression,8,12,12,0,True,pass
COMP3121,202,benign_low_density,8,12,12,0,True,pass
COMP3121,202,half_true_contextual,8,12,12,0,True,pass
COMP3121,202,targeted_suppression,8,12,12,0,True,pass
COMP3121,203,benign_low_density,8,12,12,0,True,pass
COMP3121,203,half_true_contextual,8,12,12,0,True,pass
COMP3121,203,targeted_suppression,8,12,12,0,True,pass
COMP9444,201,benign_low_density,8,15,15,0,True,pass
COMP9444,201,half_true_contextual,8,15,15,0,True,pass
COMP9444,201,targeted_suppression,8,15,15,0,True,pass
COMP9444,202,benign_low_density,8,15,15,0,True,pass
COMP9444,202,half_true_contextual,8,15,15,0,True,pass
COMP9444,202,targeted_suppression,8,15,15,0,True,pass
COMP9444,203,benign_low_density,8,15,15,0,True,pass
COMP9444,203,half_true_contextual,8,15,15,0,True,pass
COMP9444,203,targeted_suppression,8,15,14,1,True,pass
COMP9727,201,benign_low_density,6,9,9,0,True,pass
COMP9727,201,half_true_contextual,6,9,9,0,True,pass
COMP9727,201,targeted_suppression,6,9,9,0,True,pass
COMP9727,202,benign_low_density,6,9,9,0,True,pass
COMP9727,202,half_true_contextual,6,9,9,0,True,pass
COMP9727,202,targeted_suppression,6,9,9,0,True,pass
COMP9727,203,benign_low_density,6,9,9,0,True,pass
COMP9727,203,half_true_contextual,6,9,9,0,True,pass
COMP9727,203,targeted_suppression,6,9,9,0,True,pass
COMP1521,201,benign_low_density,7,11,11,0,True,pass
COMP1521,201,half_true_contextual,7,11,11,0,True,pass
COMP1521,201,targeted_suppression,7,11,10,1,True,pass
COMP1521,202,benign_low_density,7,11,11,0,True,pass
COMP1521,202,half_true_contextual,7,11,11,0,True,pass
COMP1521,202,targeted_suppression,7,11,11,0,True,pass
COMP1521,203,benign_low_density,7,11,11,0,True,pass
COMP1521,203,half_true_contextual,7,11,11,0,True,pass
COMP1521,203,targeted_suppression,7,11,11,0,True,pass
COMP4920,201,benign_low_density,7,14,14,0,True,pass
COMP4920,201,half_true_contextual,7,14,14,0,True,pass
COMP4920,201,targeted_suppression,7,14,14,0,True,pass
COMP4920,202,benign_low_density,7,14,14,0,True,pass
COMP4920,202,half_true_contextual,7,14,14,0,True,pass
COMP4920,202,targeted_suppression,7,14,14,0,True,pass
COMP4920,203,benign_low_density,7,14,14,0,True,pass
COMP4920,203,half_true_contextual,7,14,14,0,True,pass
COMP4920,203,targeted_suppression,7,14,14,0,True,pass
COMP6443,201,benign_low_density,10,15,15,0,True,pass
COMP6443,201,half_true_contextual,10,15,15,0,True,pass
COMP6443,201,targeted_suppression,10,15,15,0,True,pass
COMP6443,202,benign_low_density,10,15,15,0,True,pass
COMP6443,202,half_true_contextual,10,15,15,0,True,pass
COMP6443,202,targeted_suppression,10,15,15,0,True,pass
COMP6443,203,benign_low_density,10,15,15,0,True,pass
COMP6443,203,half_true_contextual,10,15,15,0,True,pass
COMP6443,203,targeted_suppression,10,15,15,0,True,pass
COMP2511,201,benign_low_density,9,14,14,0,True,pass
COMP2511,201,half_true_contextual,9,14,14,0,True,pass
COMP2511,201,targeted_suppression,9,14,14,0,True,pass
COMP2511,202,benign_low_density,9,14,14,0,True,pass
COMP2511,202,half_true_contextual,9,14,14,0,True,pass
COMP2511,202,targeted_suppression,9,14,14,0,True,pass
COMP2511,203,benign_low_density,9,14,14,0,True,pass
COMP2511,203,half_true_contextual,9,14,14,0,True,pass
COMP2511,203,targeted_suppression,9,14,14,0,True,pass
COMP6771,201,benign_low_density,12,18,18,0,True,pass
COMP6771,201,half_true_contextual,12,18,18,0,True,pass
COMP6771,201,targeted_suppression,12,18,17,1,True,pass
COMP6771,202,benign_low_density,12,18,18,0,True,pass
COMP6771,202,half_true_contextual,12,18,18,0,True,pass
COMP6771,202,targeted_suppression,12,18,16,2,True,pass
COMP6771,203,benign_low_density,12,18,18,0,True,pass
COMP6771,203,half_true_contextual,12,18,18,0,True,pass
COMP6771,203,targeted_suppression,12,18,17,1,True,pass
COMP2521,201,benign_low_density,8,12,12,0,True,pass
COMP2521,201,half_true_contextual,8,12,12,0,True,pass
COMP2521,201,targeted_suppression,8,12,12,0,True,pass
COMP2521,202,benign_low_density,8,12,12,0,True,pass
COMP2521,202,half_true_contextual,8,12,12,0,True,pass
COMP2521,202,targeted_suppression,8,12,11,1,True,pass
COMP2521,203,benign_low_density,8,12,12,0,True,pass
COMP2521,203,half_true_contextual,8,12,12,0,True,pass
COMP2521,203,targeted_suppression,8,12,12,0,True,pass
COMP9311,201,benign_low_density,3,5,5,0,True,pass
COMP9311,201,half_true_contextual,3,5,5,0,True,pass
COMP9311,201,targeted_suppression,3,5,5,0,True,pass
COMP9311,202,benign_low_density,3,5,5,0,True,pass
COMP9311,202,half_true_contextual,3,5,5,0,True,pass
COMP9311,202,targeted_suppression,3,5,5,0,True,pass
COMP9311,203,benign_low_density,3,5,5,0,True,pass
COMP9311,203,half_true_contextual,3,5,5,0,True,pass
COMP9311,203,targeted_suppression,3,5,5,0,True,pass
