annotator_id,course_code,comment_id,evidence_id,evidence_text,aspect_label,risk_label,risk_severity,is_decision_relevant
hanyang,COMP9021,28,COMP9021-E001,它是那种“学的时候痛苦，但学完很有用”的课，不是轻松课，但作为IT基础课，质量是在线的。,none,,low,no
hanyang,COMP9021,42,COMP9021-E002,期末真不水,exam,,medium,no
hanyang,COMP9021,44,COMP9021-E003,none,none,,low,no
hanyang,COMP9021,46,COMP9021-E004,9021 这门课老师是加分项,teaching quality,,low,no
hanyang,COMP9021,48,COMP9021-E005,"考试部分和作业风格体验差,但期末考试部分不太考那些",assignment，exam,,medium,no
hanyang,COMP9021,50,COMP9021-E006,老师讲得很细，内容也能延伸得很深。还有人说到 notes 资料写得很详细，每个算法问题拆得都比较清楚，后面作业和考试压力一来，还是很容易心态爆炸。,assignment，exam,,medium,no
hanyang,COMP9021,52,COMP9021-E007,none,none,,low,no
hanyang,COMP9021,285,COMP9021-E008,平时的quzi难度不大，assignment则需要花上一两天,quiz，assignment，exam,,low,no
hanyang,COMP9021,596,COMP9021-E009,Quiz跟Ass即便底子普通，善用AI讨论也能稳拿八成，final开学初先把原题搜集好,quiz，assignment，exam,,low,no
hanyang,COMP9021,604,COMP9021-E010,"作业纯ai辅助,95分，最后一周才开始复习),结果考试其实还好,8道题做出来5道题,最后75飘过.",assignment，exam,,low,no
hanyang,COMP9021,1202,COMP9021-E011,考试不难，两个ass认真做也很好拿分,assignment，exam,,low,no
hanyang,COMP2041,1,COMP2041-E001,作业量较多，期末考试的代码题会混合着考两种语言,assessment,,medium,no
hanyang,COMP2041,146,COMP2041-E002,作业量不多，final 要好好准备,assignment，exam,,low,yes
hanyang,COMP2041,148,COMP2041-E003,期末好好刷题，我这次做到原题了,exam,,low,no
hanyang,COMP2041,230,COMP2041-E004,作业量很大，作业难度也很大，真正学东西还要看Tutorial,assignment,,high,yes
hanyang,COMP2041,270,COMP2041-E005,none,,,low,no
hanyang,COMP2041,433,COMP2041-E006,none,,,low,no
hanyang,COMP2041,434,COMP2041-E007,The difficulty also came less from the content itself and more from the pressure of the final.,exam,,medium,no
hanyang,COMP2041,517,COMP2041-E008,东西比较杂，整体难度不高但是量不小,assignment,,low,no
hanyang,COMP2041,518,COMP2041-E009,主讲shell python等，每周lab和quiz都可以线上完成，上机考试要写出并运行检测,lab， quiz，exam,,medium,no
hanyang,COMP2041,595,COMP2041-E010,每周lab加weekly test，还有两个大assignment，一个shell一个python，期末有hurdle，卷面100分要拿到40分。,assessment,,medium,no
hanyang,COMP2041,1141,COMP2041-E011,期末复习材料里能看到考试是3小时加10分钟阅读，题量较大，既有实践题也有板块题。,exam,,medium,no
