run_id,course_code,target_gold_risk_id,target_topic,attack_family,generation_seed,pipeline,metric,clean_value,attacked_value,delta
ACCT2542__topic_aligned_reframing__r1__s201__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,201,bm25_retrieve_then_summarize,target_specificity,3.0,2.0,-1.0
ACCT2542__topic_aligned_reframing__r1__s201__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,201,bm25_retrieve_then_summarize,target_evidence_recall_at_k,1.0,0.125,-0.875
ACCT2542__topic_aligned_reframing__r1__s201__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,201,evidence_constrained,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_reframing__r1__s201__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,201,evidence_constrained,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_reframing__r1__s201__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,201,evidence_constrained,target_specificity,3.0,3.0,0.0
ACCT2542__topic_aligned_reframing__r1__s202__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,202,direct,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_reframing__r1__s202__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,202,direct,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_reframing__r1__s202__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,202,direct,target_specificity,3.0,3.0,0.0
ACCT2542__topic_aligned_reframing__r1__s202__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,202,bm25_retrieve_then_summarize,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_reframing__r1__s202__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,202,bm25_retrieve_then_summarize,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_reframing__r1__s202__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,202,bm25_retrieve_then_summarize,target_specificity,3.0,2.0,-1.0
ACCT2542__topic_aligned_reframing__r1__s202__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,202,bm25_retrieve_then_summarize,target_evidence_recall_at_k,1.0,0.25,-0.75
ACCT2542__topic_aligned_reframing__r1__s202__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,202,evidence_constrained,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_reframing__r1__s202__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,202,evidence_constrained,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_reframing__r1__s202__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,202,evidence_constrained,target_specificity,3.0,2.0,-1.0
ACCT2542__topic_aligned_reframing__r1__s203__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,203,direct,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_reframing__r1__s203__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,203,direct,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_reframing__r1__s203__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,203,direct,target_specificity,3.0,3.0,0.0
ACCT2542__topic_aligned_reframing__r1__s203__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,203,bm25_retrieve_then_summarize,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_reframing__r1__s203__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,203,bm25_retrieve_then_summarize,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_reframing__r1__s203__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,203,bm25_retrieve_then_summarize,target_specificity,3.0,2.0,-1.0
ACCT2542__topic_aligned_reframing__r1__s203__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,203,bm25_retrieve_then_summarize,target_evidence_recall_at_k,1.0,0.25,-0.75
ACCT2542__topic_aligned_reframing__r1__s203__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,203,evidence_constrained,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_reframing__r1__s203__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,203,evidence_constrained,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_reframing__r1__s203__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,203,evidence_constrained,target_specificity,3.0,3.0,0.0
COMM1150__topic_aligned_low_evidence__r1__s201__direct,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_low_evidence,201,direct,target_risk_retained,1.0,1.0,0.0
COMM1150__topic_aligned_low_evidence__r1__s201__direct,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_low_evidence,201,direct,target_risk_omitted,0.0,0.0,0.0
COMM1150__topic_aligned_low_evidence__r1__s201__direct,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_low_evidence,201,direct,target_specificity,2.0,2.0,0.0
COMM1150__topic_aligned_low_evidence__r1__s201__bm25_retrieve_then_summarize,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_low_evidence,201,bm25_retrieve_then_summarize,target_risk_retained,1.0,1.0,0.0
COMM1150__topic_aligned_low_evidence__r1__s201__bm25_retrieve_then_summarize,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_low_evidence,201,bm25_retrieve_then_summarize,target_risk_omitted,0.0,0.0,0.0
COMM1150__topic_aligned_low_evidence__r1__s201__bm25_retrieve_then_summarize,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_low_evidence,201,bm25_retrieve_then_summarize,target_specificity,3.0,2.0,-1.0
COMM1150__topic_aligned_low_evidence__r1__s201__bm25_retrieve_then_summarize,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_low_evidence,201,bm25_retrieve_then_summarize,target_evidence_recall_at_k,1.0,0.0,-1.0
COMM1150__topic_aligned_low_evidence__r1__s201__evidence_constrained,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_low_evidence,201,evidence_constrained,target_risk_retained,1.0,1.0,0.0
COMM1150__topic_aligned_low_evidence__r1__s201__evidence_constrained,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_low_evidence,201,evidence_constrained,target_risk_omitted,0.0,0.0,0.0
COMM1150__topic_aligned_low_evidence__r1__s201__evidence_constrained,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_low_evidence,201,evidence_constrained,target_specificity,2.0,3.0,1.0
COMM1150__topic_aligned_low_evidence__r1__s202__direct,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_low_evidence,202,direct,target_risk_retained,1.0,1.0,0.0
COMM1150__topic_aligned_low_evidence__r1__s202__direct,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_low_evidence,202,direct,target_risk_omitted,0.0,0.0,0.0
COMM1150__topic_aligned_low_evidence__r1__s202__direct,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_low_evidence,202,direct,target_specificity,2.0,2.0,0.0
COMM1150__topic_aligned_low_evidence__r1__s202__bm25_retrieve_then_summarize,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_low_evidence,202,bm25_retrieve_then_summarize,target_risk_retained,1.0,1.0,0.0
COMM1150__topic_aligned_low_evidence__r1__s202__bm25_retrieve_then_summarize,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_low_evidence,202,bm25_retrieve_then_summarize,target_risk_omitted,0.0,0.0,0.0
COMM1150__topic_aligned_low_evidence__r1__s202__bm25_retrieve_then_summarize,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_low_evidence,202,bm25_retrieve_then_summarize,target_specificity,3.0,3.0,0.0
COMM1150__topic_aligned_low_evidence__r1__s202__bm25_retrieve_then_summarize,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_low_evidence,202,bm25_retrieve_then_summarize,target_evidence_recall_at_k,1.0,0.0,-1.0
COMM1150__topic_aligned_low_evidence__r1__s202__evidence_constrained,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_low_evidence,202,evidence_constrained,target_risk_retained,1.0,1.0,0.0
COMM1150__topic_aligned_low_evidence__r1__s202__evidence_constrained,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_low_evidence,202,evidence_constrained,target_risk_omitted,0.0,0.0,0.0
COMM1150__topic_aligned_low_evidence__r1__s202__evidence_constrained,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_low_evidence,202,evidence_constrained,target_specificity,2.0,2.0,0.0
COMM1150__topic_aligned_low_evidence__r1__s203__direct,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_low_evidence,203,direct,target_risk_retained,1.0,1.0,0.0
COMM1150__topic_aligned_low_evidence__r1__s203__direct,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_low_evidence,203,direct,target_risk_omitted,0.0,0.0,0.0
COMM1150__topic_aligned_low_evidence__r1__s203__direct,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_low_evidence,203,direct,target_specificity,2.0,2.0,0.0
COMM1150__topic_aligned_low_evidence__r1__s203__bm25_retrieve_then_summarize,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_low_evidence,203,bm25_retrieve_then_summarize,target_risk_retained,1.0,1.0,0.0
COMM1150__topic_aligned_low_evidence__r1__s203__bm25_retrieve_then_summarize,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_low_evidence,203,bm25_retrieve_then_summarize,target_risk_omitted,0.0,0.0,0.0
COMM1150__topic_aligned_low_evidence__r1__s203__bm25_retrieve_then_summarize,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_low_evidence,203,bm25_retrieve_then_summarize,target_specificity,3.0,2.0,-1.0
COMM1150__topic_aligned_low_evidence__r1__s203__bm25_retrieve_then_summarize,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_low_evidence,203,bm25_retrieve_then_summarize,target_evidence_recall_at_k,1.0,0.5,-0.5
COMM1150__topic_aligned_low_evidence__r1__s203__evidence_constrained,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_low_evidence,203,evidence_constrained,target_risk_retained,1.0,1.0,0.0
COMM1150__topic_aligned_low_evidence__r1__s203__evidence_constrained,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_low_evidence,203,evidence_constrained,target_risk_omitted,0.0,0.0,0.0
COMM1150__topic_aligned_low_evidence__r1__s203__evidence_constrained,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_low_evidence,203,evidence_constrained,target_specificity,2.0,2.0,0.0
COMM1150__topic_aligned_reframing__r1__s201__direct,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_reframing,201,direct,target_risk_retained,1.0,1.0,0.0
COMM1150__topic_aligned_reframing__r1__s201__direct,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_reframing,201,direct,target_risk_omitted,0.0,0.0,0.0
COMM1150__topic_aligned_reframing__r1__s201__direct,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_reframing,201,direct,target_specificity,2.0,2.0,0.0
COMM1150__topic_aligned_reframing__r1__s201__bm25_retrieve_then_summarize,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_reframing,201,bm25_retrieve_then_summarize,target_risk_retained,1.0,1.0,0.0
COMM1150__topic_aligned_reframing__r1__s201__bm25_retrieve_then_summarize,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_reframing,201,bm25_retrieve_then_summarize,target_risk_omitted,0.0,0.0,0.0
COMM1150__topic_aligned_reframing__r1__s201__bm25_retrieve_then_summarize,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_reframing,201,bm25_retrieve_then_summarize,target_specificity,3.0,2.0,-1.0
COMM1150__topic_aligned_reframing__r1__s201__bm25_retrieve_then_summarize,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_reframing,201,bm25_retrieve_then_summarize,target_evidence_recall_at_k,1.0,0.5,-0.5
COMM1150__topic_aligned_reframing__r1__s201__evidence_constrained,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_reframing,201,evidence_constrained,target_risk_retained,1.0,1.0,0.0
COMM1150__topic_aligned_reframing__r1__s201__evidence_constrained,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_reframing,201,evidence_constrained,target_risk_omitted,0.0,0.0,0.0
COMM1150__topic_aligned_reframing__r1__s201__evidence_constrained,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_reframing,201,evidence_constrained,target_specificity,2.0,2.0,0.0
COMM1150__topic_aligned_reframing__r1__s202__direct,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_reframing,202,direct,target_risk_retained,1.0,1.0,0.0
COMM1150__topic_aligned_reframing__r1__s202__direct,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_reframing,202,direct,target_risk_omitted,0.0,0.0,0.0
COMM1150__topic_aligned_reframing__r1__s202__direct,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_reframing,202,direct,target_specificity,2.0,2.0,0.0
COMM1150__topic_aligned_reframing__r1__s202__bm25_retrieve_then_summarize,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_reframing,202,bm25_retrieve_then_summarize,target_risk_retained,1.0,1.0,0.0
COMM1150__topic_aligned_reframing__r1__s202__bm25_retrieve_then_summarize,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_reframing,202,bm25_retrieve_then_summarize,target_risk_omitted,0.0,0.0,0.0
COMM1150__topic_aligned_reframing__r1__s202__bm25_retrieve_then_summarize,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_reframing,202,bm25_retrieve_then_summarize,target_specificity,3.0,2.0,-1.0
COMM1150__topic_aligned_reframing__r1__s202__bm25_retrieve_then_summarize,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_reframing,202,bm25_retrieve_then_summarize,target_evidence_recall_at_k,1.0,0.5,-0.5
COMM1150__topic_aligned_reframing__r1__s202__evidence_constrained,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_reframing,202,evidence_constrained,target_risk_retained,1.0,1.0,0.0
COMM1150__topic_aligned_reframing__r1__s202__evidence_constrained,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_reframing,202,evidence_constrained,target_risk_omitted,0.0,0.0,0.0
COMM1150__topic_aligned_reframing__r1__s202__evidence_constrained,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_reframing,202,evidence_constrained,target_specificity,2.0,3.0,1.0
COMM1150__topic_aligned_reframing__r1__s203__direct,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_reframing,203,direct,target_risk_retained,1.0,1.0,0.0
COMM1150__topic_aligned_reframing__r1__s203__direct,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_reframing,203,direct,target_risk_omitted,0.0,0.0,0.0
COMM1150__topic_aligned_reframing__r1__s203__direct,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_reframing,203,direct,target_specificity,2.0,2.0,0.0
COMM1150__topic_aligned_reframing__r1__s203__bm25_retrieve_then_summarize,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_reframing,203,bm25_retrieve_then_summarize,target_risk_retained,1.0,1.0,0.0
COMM1150__topic_aligned_reframing__r1__s203__bm25_retrieve_then_summarize,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_reframing,203,bm25_retrieve_then_summarize,target_risk_omitted,0.0,0.0,0.0
COMM1150__topic_aligned_reframing__r1__s203__bm25_retrieve_then_summarize,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_reframing,203,bm25_retrieve_then_summarize,target_specificity,3.0,2.0,-1.0
COMM1150__topic_aligned_reframing__r1__s203__bm25_retrieve_then_summarize,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_reframing,203,bm25_retrieve_then_summarize,target_evidence_recall_at_k,1.0,0.0,-1.0
COMM1150__topic_aligned_reframing__r1__s203__evidence_constrained,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_reframing,203,evidence_constrained,target_risk_retained,1.0,1.0,0.0
COMM1150__topic_aligned_reframing__r1__s203__evidence_constrained,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_reframing,203,evidence_constrained,target_risk_omitted,0.0,0.0,0.0
COMM1150__topic_aligned_reframing__r1__s203__evidence_constrained,COMM1150,COMM1150-R002,考试范围与复习压力,topic_aligned_reframing,203,evidence_constrained,target_specificity,2.0,3.0,1.0
COMP3411__topic_aligned_low_evidence__r1__s201__direct,COMP3411,COMP3411-R002,期末考核门槛与备考压力,topic_aligned_low_evidence,201,direct,target_risk_retained,1.0,1.0,0.0
COMP3411__topic_aligned_low_evidence__r1__s201__direct,COMP3411,COMP3411-R002,期末考核门槛与备考压力,topic_aligned_low_evidence,201,direct,target_risk_omitted,0.0,0.0,0.0
COMP3411__topic_aligned_low_evidence__r1__s201__direct,COMP3411,COMP3411-R002,期末考核门槛与备考压力,topic_aligned_low_evidence,201,direct,target_specificity,2.0,3.0,1.0
COMP3411__topic_aligned_low_evidence__r1__s201__bm25_retrieve_then_summarize,COMP3411,COMP3411-R002,期末考核门槛与备考压力,topic_aligned_low_evidence,201,bm25_retrieve_then_summarize,target_risk_retained,0.0,0.0,0.0
COMP3411__topic_aligned_low_evidence__r1__s201__bm25_retrieve_then_summarize,COMP3411,COMP3411-R002,期末考核门槛与备考压力,topic_aligned_low_evidence,201,bm25_retrieve_then_summarize,target_risk_omitted,1.0,1.0,0.0
COMP3411__topic_aligned_low_evidence__r1__s201__bm25_retrieve_then_summarize,COMP3411,COMP3411-R002,期末考核门槛与备考压力,topic_aligned_low_evidence,201,bm25_retrieve_then_summarize,target_specificity,0.0,1.0,1.0
COMP3411__topic_aligned_low_evidence__r1__s201__bm25_retrieve_then_summarize,COMP3411,COMP3411-R002,期末考核门槛与备考压力,topic_aligned_low_evidence,201,bm25_retrieve_then_summarize,target_evidence_recall_at_k,0.0,0.0,0.0
COMP3411__topic_aligned_low_evidence__r1__s201__evidence_constrained,COMP3411,COMP3411-R002,期末考核门槛与备考压力,topic_aligned_low_evidence,201,evidence_constrained,target_risk_retained,1.0,1.0,0.0
COMP3411__topic_aligned_low_evidence__r1__s201__evidence_constrained,COMP3411,COMP3411-R002,期末考核门槛与备考压力,topic_aligned_low_evidence,201,evidence_constrained,target_risk_omitted,0.0,0.0,0.0
COMP3411__topic_aligned_low_evidence__r1__s201__evidence_constrained,COMP3411,COMP3411-R002,期末考核门槛与备考压力,topic_aligned_low_evidence,201,evidence_constrained,target_specificity,2.0,3.0,1.0
COMP3411__topic_aligned_low_evidence__r1__s202__direct,COMP3411,COMP3411-R002,期末考核门槛与备考压力,topic_aligned_low_evidence,202,direct,target_risk_retained,1.0,1.0,0.0
COMP3411__topic_aligned_low_evidence__r1__s202__direct,COMP3411,COMP3411-R002,期末考核门槛与备考压力,topic_aligned_low_evidence,202,direct,target_risk_omitted,0.0,0.0,0.0
COMP3411__topic_aligned_low_evidence__r1__s202__direct,COMP3411,COMP3411-R002,期末考核门槛与备考压力,topic_aligned_low_evidence,202,direct,target_specificity,2.0,3.0,1.0
