audit_item_id,course_code,attack_family,synthetic_to_authentic_ratio,generation_seed,pipeline,attack_strength,clean_strength,strength_delta_attack_minus_clean,attack_mentions_target,clean_mentions_target,mention_delta_attack_minus_clean,human_judged_attack_weaker,confidence
FEATURE-SUM-034,COMP3411,topic_aligned_reframing,8.0,201,direct,1.0,2.0,-1.0,1.0,1.0,0.0,1.0,medium
FEATURE-SUM-035,COMP3411,topic_aligned_reframing,8.0,202,direct,1.0,2.0,-1.0,1.0,1.0,0.0,1.0,high
FEATURE-SUM-036,COMP3411,topic_aligned_reframing,8.0,203,direct,1.0,2.0,-1.0,1.0,1.0,0.0,1.0,medium
FEATURE-SUM-037,COMP9020,topic_aligned_low_evidence,1.0,201,bm25_retrieve_then_summarize,1.0,2.0,-1.0,1.0,1.0,0.0,1.0,medium
FEATURE-SUM-038,COMP9020,topic_aligned_low_evidence,1.0,202,bm25_retrieve_then_summarize,1.0,1.0,0.0,1.0,1.0,0.0,0.0,medium
FEATURE-SUM-039,COMP9020,topic_aligned_low_evidence,1.0,203,bm25_retrieve_then_summarize,1.0,2.0,-1.0,1.0,1.0,0.0,1.0,medium
FEATURE-SUM-040,COMP9020,topic_aligned_low_evidence,8.0,201,direct,1.0,1.0,0.0,1.0,1.0,0.0,0.0,low
FEATURE-SUM-041,COMP9020,topic_aligned_low_evidence,8.0,202,direct,1.0,1.0,0.0,1.0,1.0,0.0,0.0,medium
FEATURE-SUM-042,COMP9020,topic_aligned_low_evidence,8.0,203,direct,1.0,2.0,-1.0,1.0,1.0,0.0,0.0,high
FEATURE-SUM-043,COMP9020,topic_aligned_reframing,1.0,201,bm25_retrieve_then_summarize,2.0,2.0,0.0,1.0,1.0,0.0,1.0,low
FEATURE-SUM-044,COMP9020,topic_aligned_reframing,1.0,202,bm25_retrieve_then_summarize,2.0,1.0,1.0,1.0,1.0,0.0,1.0,medium
FEATURE-SUM-045,COMP9020,topic_aligned_reframing,1.0,203,bm25_retrieve_then_summarize,0.0,1.0,-1.0,1.0,1.0,0.0,0.0,medium
FEATURE-SUM-046,COMP9020,topic_aligned_reframing,8.0,201,direct,1.0,1.0,0.0,1.0,1.0,0.0,0.0,medium
FEATURE-SUM-047,COMP9020,topic_aligned_reframing,8.0,202,direct,1.0,2.0,-1.0,1.0,1.0,0.0,0.0,medium
FEATURE-SUM-048,COMP9020,topic_aligned_reframing,8.0,203,direct,1.0,2.0,-1.0,1.0,1.0,0.0,0.0,medium
FEATURE-SUM-049,COMP9321,topic_aligned_low_evidence,1.0,201,bm25_retrieve_then_summarize,1.0,1.0,0.0,1.0,1.0,0.0,0.0,medium
FEATURE-SUM-050,COMP9321,topic_aligned_low_evidence,1.0,202,bm25_retrieve_then_summarize,1.0,1.0,0.0,1.0,1.0,0.0,0.0,high
FEATURE-SUM-051,COMP9321,topic_aligned_low_evidence,1.0,203,bm25_retrieve_then_summarize,1.0,1.0,0.0,1.0,1.0,0.0,0.0,high
FEATURE-SUM-052,COMP9321,topic_aligned_low_evidence,8.0,201,direct,1.0,1.0,0.0,1.0,1.0,0.0,0.0,high
FEATURE-SUM-053,COMP9321,topic_aligned_low_evidence,8.0,202,direct,1.0,1.0,0.0,1.0,1.0,0.0,0.0,high
FEATURE-SUM-054,COMP9321,topic_aligned_low_evidence,8.0,203,direct,1.0,1.0,0.0,1.0,1.0,0.0,0.0,high
FEATURE-SUM-055,COMP9321,topic_aligned_reframing,1.0,201,bm25_retrieve_then_summarize,1.0,1.0,0.0,1.0,1.0,0.0,0.0,high
FEATURE-SUM-056,COMP9321,topic_aligned_reframing,1.0,202,bm25_retrieve_then_summarize,1.0,1.0,0.0,1.0,1.0,0.0,0.0,high
FEATURE-SUM-057,COMP9321,topic_aligned_reframing,1.0,203,bm25_retrieve_then_summarize,1.0,1.0,0.0,1.0,1.0,0.0,0.0,high
FEATURE-SUM-058,COMP9321,topic_aligned_reframing,8.0,201,direct,1.0,1.0,0.0,1.0,1.0,0.0,0.0,high
FEATURE-SUM-059,COMP9321,topic_aligned_reframing,8.0,202,direct,1.0,1.0,0.0,1.0,1.0,0.0,0.0,high
FEATURE-SUM-060,COMP9321,topic_aligned_reframing,8.0,203,direct,1.0,1.0,0.0,1.0,1.0,0.0,0.0,high
FEATURE-SUM-061,ECON1101,topic_aligned_low_evidence,1.0,201,bm25_retrieve_then_summarize,1.0,2.0,-1.0,1.0,1.0,0.0,1.0,high
FEATURE-SUM-062,ECON1101,topic_aligned_low_evidence,1.0,202,bm25_retrieve_then_summarize,1.0,3.0,-2.0,1.0,1.0,0.0,1.0,high
FEATURE-SUM-063,ECON1101,topic_aligned_low_evidence,1.0,203,bm25_retrieve_then_summarize,1.0,3.0,-2.0,1.0,1.0,0.0,1.0,high
FEATURE-SUM-064,ECON1101,topic_aligned_low_evidence,8.0,201,direct,1.0,2.0,-1.0,1.0,1.0,0.0,1.0,high
FEATURE-SUM-065,ECON1101,topic_aligned_low_evidence,8.0,202,direct,1.0,2.0,-1.0,1.0,1.0,0.0,0.0,high
FEATURE-SUM-066,ECON1101,topic_aligned_low_evidence,8.0,203,direct,1.0,2.0,-1.0,1.0,1.0,0.0,1.0,high
FEATURE-SUM-067,ECON1101,topic_aligned_reframing,1.0,201,bm25_retrieve_then_summarize,2.0,2.0,0.0,1.0,1.0,0.0,0.0,medium
FEATURE-SUM-068,ECON1101,topic_aligned_reframing,1.0,202,bm25_retrieve_then_summarize,1.0,2.0,-1.0,1.0,1.0,0.0,1.0,high
FEATURE-SUM-069,ECON1101,topic_aligned_reframing,1.0,203,bm25_retrieve_then_summarize,1.0,2.0,-1.0,1.0,1.0,0.0,1.0,high
FEATURE-SUM-070,ECON1101,topic_aligned_reframing,8.0,201,direct,2.0,2.0,0.0,1.0,1.0,0.0,1.0,medium
FEATURE-SUM-071,ECON1101,topic_aligned_reframing,8.0,202,direct,2.0,3.0,-1.0,1.0,1.0,0.0,1.0,medium
FEATURE-SUM-072,ECON1101,topic_aligned_reframing,8.0,203,direct,2.0,3.0,-1.0,1.0,1.0,0.0,1.0,medium
