annotator_id,course_code,comment_id,evidence_id,evidence_text,aspect_label,risk_label,risk_severity,is_decision_relevant,_source_file,_source_encoding,_source_row
hanyang,COMP9334,290,COMP9334-E001,平时分给分非常友好，想过很容易的课，但是刷高分要平时好好学,exam,,low,no,evidence_units_hanyang(1).csv,utf-8-sig,18
hanyang,COMP9334,455,COMP9334-E002,平时分50基本可以拿满，考试题在有限时间内可以说非常变态,exam,,low,no,evidence_units_hanyang(1).csv,utf-8-sig,19
hanyang,COMP9334,456,COMP9334-E003,想pass确实很稳，想HD就不太推荐,exam,,low,no,evidence_units_hanyang(1).csv,utf-8-sig,20
hanyang,COMP9334,597,COMP9334-E004,没有double pass，final 题型变化不大，整体来说workload适中，想要pass或者拿高分都不太难,exam,,low,no,evidence_units_hanyang(1).csv,utf-8-sig,21
hanyang,COMP9334,955,COMP9334-E005,平时分给分非常友好，但期末回吞卷比较明显,exam,,,no,evidence_units_hanyang(1).csv,utf-8-sig,22
hanyang,COMP9334,963,COMP9334-E006,none,none,,,,evidence_units_hanyang(1).csv,utf-8-sig,23
hanyang,COMP9334,1091,COMP9334-E007,allin八股也飘过,exam,,low,no,evidence_units_hanyang(1).csv,utf-8-sig,24
hanyang,COMP9334,1100,COMP9334-E008,对知识概念理解了的话，选择题不难，死记硬背不太行,exam,,low,no,evidence_units_hanyang(1).csv,utf-8-sig,25
hanyang,COMP9311,58,COMP9311-E001,none,none,,,,evidence_units_hanyang(1).csv,utf-8-sig,26
hanyang,COMP9311,61,COMP9311-E002,none,none,,,,evidence_units_hanyang(1).csv,utf-8-sig,27
hanyang,COMP9311,63,COMP9311-E003,final 就开始拐弯,exam,,medium,no,evidence_units_hanyang(1).csv,utf-8-sig,28
hanyang,COMP9311,272,COMP9311-E004,平时认真做还是比较好拿分，final题型很固定,exam，assignment,,low,no,evidence_units_hanyang(1).csv,utf-8-sig,29
hanyang,COMP9311,288,COMP9311-E005,final的题型固定，但不好拿分,exam,,low,no,evidence_units_hanyang(1).csv,utf-8-sig,30
hanyang,COMP9311,603,COMP9311-E006,作业纯codex，期末把sample exam自己做完，最后70飘过,exam,,low,no,evidence_units_hanyang(1).csv,utf-8-sig,31
hanyang,COMP9311,1005,COMP9311-E007,2个Assignment和1个Project基本也不会花很久，期末题量是真的大啊完全写不完,exam，assignment,,low,no,evidence_units_hanyang(1).csv,utf-8-sig,32
hanyang,COMP9311,1107,COMP9311-E008,总分至少50,exam,,low,no,evidence_units_hanyang(1).csv,utf-8-sig,33
hanyang,COMM1190,733,COMM1190-E001,转换成numeric格式，大小写错误，没有library需要的数据包，检查方法,assessment,,,,evidence_units_hanyang(1).csv,utf-8-sig,34
hanyang,COMM1190,740,COMM1190-E002,A1（30%）- 个人战（Week 5 Due），A2（25%）- 组队坑（Week 8 Due）,assignment,,medium,no,evidence_units_hanyang(1).csv,utf-8-sig,35
hanyang,COMM1190,812,COMM1190-E003,quiz上好像写了可以看lecture notes,quiz,,low,no,evidence_units_hanyang(1).csv,utf-8-sig,36
hanyang,COMM1190,824,COMM1190-E005,lecture和tutorial都断层的,course design,,medium,yes,evidence_units_hanyang(1).csv,utf-8-sig,37
hanyang,COMM1190,818,COMM1190-E005,课程设计的不好,course design,,medium,yes,evidence_units_hanyang(1).csv,utf-8-sig,38
hanyang,COMM1190,831,COMM1190-E006,boc必修，第一个individual repo，group work，online exam,assignment，exam,,medium,no,evidence_units_hanyang(1).csv,utf-8-sig,39
hanyang,COMM1190,911,COMM1190-E007,R coding quiz偏实操,quiz,,medium,no,evidence_units_hanyang(1).csv,utf-8-sig,40
hanyang,COMM1190,920,COMM1190-E008,注意R代码提交、文件格式和迟交处罚,quiz,,medium,no,evidence_units_hanyang(1).csv,utf-8-sig,41
hanyang,CDEV3500,947,CDEV3500-E001,intensive mode，从早九上到晚五，连续上两周,课程结构,,medium,no,evidence_units_hanyang(1).csv,utf-8-sig,42
hanyang,CDEV3500,956,CDEV3500-E002,Eitan和Lucy都是很好的老师,lecturer,,low,no,evidence_units_hanyang(1).csv,utf-8-sig,43
hanyang,CDEV3500,965,CDEV3500-E003,理解有奇怪口音的英,course structure,,low,no,evidence_units_hanyang(1).csv,utf-8-sig,44
hanyang,CDEV3500,973,CDEV3500-E005,两周混六个学分，赚麻了,course structure,,low,no,evidence_units_hanyang(1).csv,utf-8-sig,45
hanyang,CDEV3500,1076,CDEV3500-E005,两周混六个学分，赚麻了,course structure,,low,no,evidence_units_hanyang(1).csv,utf-8-sig,46
hanyang,CDEV3500,1084,CDEV3500-E006,还是essay和pre；给分还是好一些,assessment structure，marking,,low,,evidence_units_hanyang(1).csv,utf-8-sig,47
hanyang,CDEV3500,1092,CDEV3500-E007,需要学生提前在新南WIL官网上提交申请并且通过面试才可以enroll,course structure，apply method,,low,no,evidence_units_hanyang(1).csv,utf-8-sig,48
hanyang,CDEV3500,1101,CDEV3500-E008,给分还不错，不发奖学金，非一手信息,course apply,,low,no,evidence_units_hanyang(1).csv,utf-8-sig,49
hanyang,ACCT2542,358,ACCT2542-E001,整个会计专业最难的课，期中考试平均分48,exam,,high,yes,evidence_units_hanyang(1).csv,utf-8-sig,50
hanyang,ACCT2542,715,ACCT2542-E002,2542最难吧,content_too_hard,,high,yes,evidence_units_hanyang(1).csv,utf-8-sig,51
hanyang,ACCT2542,731,ACCT2542-E003,学生的人均崩溃程度和2542差不多,content_too_hard,,high,yes,evidence_units_hanyang(1).csv,utf-8-sig,52
hanyang,ACCT2542,738,ACCT2542-E004,ACCT2542最容易挂的原因,content_too_hard,,high,yes,evidence_units_hanyang(1).csv,utf-8-sig,53
hanyang,ACCT2542,858,ACCT2542-E005,2542非常难,conten_too_hard,,high,,evidence_units_hanyang(1).csv,utf-8-sig,54
hanyang,ACCT2542,869,ACCT2542-E006,那很难了,content_too_hard,,high,yes,evidence_units_hanyang(1).csv,utf-8-sig,55
hanyang,ACCT2542,926,ACCT2542-E007,容易因为分析不够深被扣分,conten_too_hard,,high,yes,evidence_units_hanyang(1).csv,utf-8-sig,56
hanyang,ACCT2542,933,ACCT2542-E008,最容易掉分的通常不是计算，而是分析不够深、结构混乱、没有对齐题目要求,content_too_hard,,high,yes,evidence_units_hanyang(1).csv,utf-8-sig,57
hanyang,MATH5836,116,MATH5836-E001,double pass真的烦,exam,,medium,no,evidence_units_hanyang(1).csv,utf-8-sig,58
hanyang,MATH5836,118,MATH5836-E002,老师讲课还可以,lecturer,,low,no,evidence_units_hanyang(1).csv,utf-8-sig,59
hanyang,MATH5836,120,MATH5836-E003,这门课不算特别难，基础一般的话，会感觉有点吃力,course structure,,low,no,evidence_units_hanyang(1).csv,utf-8-sig,60
hanyang,MATH5836,506,MATH5836-E004,期末考难但开卷考原题，所有材料开放，平时分给的满满，还允许ai写，有dp，有考勤,assessment，exam,,low,no,evidence_units_hanyang(1).csv,utf-8-sig,61
hanyang,MATH5836,507,MATH5836-E005,每周lab算出勤，两个组队作业，期末55%+dp（好像出事后取消了）,quiz，lab，group work，final,,medium,yes,evidence_units_hanyang(1).csv,utf-8-sig,62
hanyang,MATH5836,1032,MATH5836-E006,老师好像经常换,lecturer,,medium,no,evidence_units_hanyang(1).csv,utf-8-sig,63
hanyang,MATH5836,1041,MATH5836-E007,这学期换成sarat moka了,lecturer‘,,low,no,evidence_units_hanyang(1).csv,utf-8-sig,64
hanyang,MATH5836,1053,MATH5836-E008,期末是两小时上机考试，有选择题、论述题和编程题。,exam,,low,no,evidence_units_hanyang(1).csv,utf-8-sig,65
hanyang,MATH5836,1147,MATH5836-E009,通过标准总分需要至少50，final至少28分，并且7/9的lab出勤是强制性的,exam，lab,,medium,no,evidence_units_hanyang(1).csv,utf-8-sig,66
hanyang,GSOE9011,66,GSOE9011-E001,老师给feedback是挺多，组队的话还要协调进度,assessment，group work,,low,no,evidence_units_hanyang(1).csv,utf-8-sig,67
hanyang,GSOE9011,77,GSOE9011-E002,是那种写着写着会崩溃的,assessment,,medium,,evidence_units_hanyang(1).csv,utf-8-sig,68
hanyang,GSOE9011,79,GSOE9011-E003,从proposal到final report再到presentation，一路没停过。老师改得很细,assessment,,medium,no,evidence_units_hanyang(1).csv,utf-8-sig,69
hanyang,GSOE9011,295,GSOE9011-E004,给分感觉一般,assessment，proposal,,medium,no,evidence_units_hanyang(1).csv,utf-8-sig,70
hanyang,GSOE9011,318,GSOE9011-E005,不卡dn和hd的课，不用真的去刷每个视频，把 quiz 刷满分，在 Forum 提一个问题即可，助教TA们给分波动大，标准不一致,assessment,,low,no,evidence_units_hanyang(1).csv,utf-8-sig,71
hanyang,GSOE9011,339,GSOE9011-E006,每周的quiz可无限次做，每周在论坛发言记一分，前期有个提交cv的作业10分，小组是填问卷老师分配的，proposal和最终一个video,assessment,,medium,no,evidence_units_hanyang(1).csv,utf-8-sig,72
hanyang,GSOE9011,999,GSOE9011-E007,不过遇到严格的tutor那也就只能这样了,marking,,medium,no,evidence_units_hanyang(1).csv,utf-8-sig,73
hanyang,GSOE9011,1154,GSOE9011-E008,总分至少50，需要参加或完成至少80%的学习活动和作业,double pass,,low,no,evidence_units_hanyang(1).csv,utf-8-sig,74
hanyang,GSOE9011,1193,GSOE9011-E009,几乎不怎么需要花时间，只要你的小组队员们都相对比较给力，我觉得80分以上是非常轻松的。,group work,,low,no,evidence_units_hanyang(1).csv,utf-8-sig,75
Yuanhang Yan,COMP2521,233,COMP2521-E001,评论者自述“这门课我挂了两回，整整两回”，表明课程存在导致同一学生多次挂科的情况。,课程难度 / Course Difficulty,高挂科率 / High Failure Rate,high,yes,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,2
Yuanhang Yan,COMP2521,233,COMP2521-E002,“见证了无数对计算机充满幻想的同学在这门课上折戟沉沙。要么转专业跑路，要么转学校跑路。” 反映课程难度或教学方式导致大量学生学业受挫、转专业甚至转学。,学生流失 / Student Attrition,学生转专业/转学风险 / Student Dropout/Transfer Risk,high,yes,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,3
Yuanhang Yan,COMP2521,233,COMP2521-E003,“原来在新南一起上计算机不及格的同学，到了悉大却都hd了。” 横向对比表明相同水平学生在其他高校（悉尼大学）能获高分，暗示本课程考核标准或难度显著高于同类院校。,考核标准 / Assessment Standard,考核标准过严 / Excessively Strict Grading Compared to Peer Institutions,medium,yes,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,4
Yuanhang Yan,COMP2521,326,COMP2521-E004,由于期中临时更换讲师，导致学生跟不上节奏，graph 和 tree 部分掌握不佳。,教学连续性 / Teaching Continuity,中途更换讲师 / Mid-term Lecturer Change,medium,yes,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,5
Yuanhang Yan,COMP2521,384,COMP2521-E005,评论提及讲师 Ashesh 在讲解经典递归二叉树时“能把自己绕晕”，暗示讲师授课逻辑可能不清晰，容易导致学生困惑。,教学质量 / Teaching Quality,讲师讲解不清 / Lecturer's Unclear Explanation,medium,yes,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,6
Yuanhang Yan,COMP2521,421,COMP2521-E006,评论者指出由于首次 COVID 学期，课程的授课和行政管理受到干扰，导致课程体验不佳。,课程管理 / Course Administration,授课与行政受外部因素干扰 / Delivery & Admin Disrupted by External Factors,medium,yes,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,7
Yuanhang Yan,COMP2521,523,COMP2521-E007,课程使用C语言教学，知识量和编程量较大，整体学习难度高。,课程使用C语言教学，知识量和编程量较大，整体学习难度高。,高学习难度与重编程负担 / High Difficulty & Heavy Programming Load,high,yes,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,8
Yuanhang Yan,COMP2521,523,COMP2521-E008,期末考试题量大，且设有三道障碍：总分不低于18分，理论部分和实践部分各自须达到25%以上。,考核要求 / Assessment Requirements,期末考试多重通过障碍 / Multiple Final Exam Hurdles,high,yes,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,9
Yuanhang Yan,COMP2521,524,COMP2521-E009,本学期期末考试难度显著高于往年试题，学生反映比做过的任何一套往年题都难，尤其是理论题耗时且需大量文字解释。,考试难度 / Exam Difficulty,期末考试难度波动大 / High Exam Difficulty Fluctuation,medium,yes,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,10
Yuanhang Yan,COMP2521,1025,COMP2521-E010,课程挂科率高，被学生视为难以跨越的大山。,课程通过率 / Course Pass Rate,高挂科率 / High Failure Rate,high,yes,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,11
Yuanhang Yan,COMP2521,1025,COMP2521-E011,线下现场编写代码难度极大，即使是平时作业满分的学生也感到困难。,考核形式 / Assessment Format,线下编程考试难度过高 / Excessively Difficult In-person Coding Exam,high,yes,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,12
Yuanhang Yan,COMP2521,1042,COMP2521-E012,作业2（Ass2）难度显著高于作业1，且截止日期靠近第10周，与其他课程任务堆积，学生若拖延则难以完成，甚至可能导致挂科。,作业难度与时间管理 / Assignment Difficulty & Time Management,高难度作业叠加DDL冲突 / High-Difficulty Assignment with DDL Conflicts,medium,yes,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,13
Yuanhang Yan,COMP2521,1110,COMP2521-E013,课程使用C语言，知识量和编程量大，整体学习负担较重。,课程负担 / Course Load,高知识量与编程量 / Heavy Content & Coding Load,medium,yes,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,14
Yuanhang Yan,COMP2521,1110,COMP2521-E014,作业要求持续提交，部分作业权重高达25%，对时间管理和稳定性要求高。,作业设计 / Assignment Design,高权重持续提交作业 / High-Weight Continuous Assignment Submission,medium,yes,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,15
Yuanhang Yan,COMP2521,1110,COMP2521-E015,若基础不扎实，实现和调试将耗费大量时间，暗示课程对先修知识要求较高。,前置知识要求 / Prerequisite Knowledge,前置基础薄弱导致耗时 / Weak Prerequisites Leading to Time Sink,medium,yes,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,16
Yuanhang Yan,COMP2511,142,COMP2511-E001,程整体难度高，后续 project 难度远超学生之前本科阶段所写项目，导致适应困难。,项目难度 / Project Difficulty,项目难度跳升 / Sharp Increase in Project Difficulty,medium,yes,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,17
Yuanhang Yan,COMP2511,144,COMP2511-E002,课程不仅编程难，还要求对理论内容（如设计模式）十分熟练，学习负担重。,理论要求 / Theory Requirements,高理论熟练度要求 / High Theory Proficiency Required,medium,yes,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,18
Yuanhang Yan,COMP2511,144,COMP2511-E003,项目成绩严重依赖队友质量，队友不给力可能导致项目失败。,团队协作 / Team Collaboration,依赖队友导致成绩风险 / Risk of Teammate-Dependent Performance,high,yes,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,19
Yuanhang Yan,COMP2511,301,COMP2511-E004,课程不进行分数调分（scaling），即使平时成绩高也可能挂科，导致多人不及格。,评分政策 / Scaling Policy,无调分致高平时分仍挂科 / No Scaling Leading to Failures Despite High Pre-Exam Marks,high,yes,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,20
Yuanhang Yan,COMP2511,301,COMP2511-E005,考试时长为3小时，但试卷量巨大，实际需要5小时才能完成，无人能做完。,考试设计 / Exam Design,考试时间严重不足 / Severely Insufficient Exam Time,high,yes,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,21
Yuanhang Yan,COMP2511,301,COMP2511-E006,大量学生因挂科和不调分而抱怨，认为评分和结果极不公平。,考核公平性 / Assessment Fairness,大规模挂科与强烈不公感 / Mass Failures & Strong Perceived Unfairness,high,yes,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,22
Yuanhang Yan,COMP2511,389,COMP2511-E007,讲师 Ashesh 口音较重，导致学生理解困难，影响学习体验。,讲师表达 / Lecturer Delivery,讲师口音影响理解 / Lecturer's Accent Affects Comprehension,low,yes,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,23
Yuanhang Yan,COMP2511,389,COMP2511-E008,作业评分主观性强，学生感到评价不透明或不公正,评分公平性 / Grading Fairness,作业评分主观性高 / Subjective Assignment Grading,medium,yes,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,24
Yuanhang Yan,COMP2511,418,COMP2511-E009,课程行政管理混乱，影响学习体验和课程顺利进行。,课程管理 / Course Administration,行政管理混乱 / Chaotic Administration,medium,yes,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,25
Yuanhang Yan,COMP2511,418,COMP2511-E010,作业要求极高，超出一般预期，给学生带来巨大压力,作业难度 / Assignment Difficulty,作业要求过高 / Excessively Demanding Assignment,high,yes,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,26
Yuanhang Yan,COMP2511,418,COMP2511-E011,课程内容在给定时间内难以完成，时间安排不合理。,内容与时间匹配 / Content-Time Mismatch,内容量超出时间负荷 / Unreasonable Content Volume for Given Time,medium,yes,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,27
Yuanhang Yan,COMP2511,418,COMP2511-E012,完全在线学习进一步恶化了课程体验。,授课模式 / Delivery Mode,授课模式 / Delivery Mode,medium,yes,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,28
Yuanhang Yan,COMP2511,419,COMP2511-E013,课程整体压力远大于收获，学生感到更多是焦虑而非成长。,学习体验 / Learning Experience,高压力低收获感 / High Stress & Low Sense of Reward,medium,yes,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,29
Yuanhang Yan,COMP2511,419,COMP2511-E014,作业犹如在极端压力下编写游戏，压迫感极强。,作业压力 / Assignment Pressure,作业极端时间/难度压力 / Extreme Assignment Pressure,medium,yes,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,30
Yuanhang Yan,COMP2511,419,COMP2511-E015,评估过程令人不愉快，影响体验。,评估体验 / Assessment Experience,评估过程体验欠佳 / Unpleasant Assessment Experience,low,no,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,31
Yuanhang Yan,COMP2511,419,COMP2511-E016,课程仅为通关而修，不建议抱有享受学习的期待。,课程推荐度 / Course Recommendation,"缺乏乐趣，仅宜功利性修读 / Lacks Enjoyment, Only for Utility",low,no,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,32
Yuanhang Yan,COMP2511,519,COMP2511-E017,课程对 Java 编程能力要求高，前置基础薄弱可能难以跟上。,前置技能要求 / Prerequisite Skills,对Java能力高要求 / High Java Proficiency Required,medium,yes,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,33
Yuanhang Yan,COMP2511,522,COMP2511-E018,课程工作量极大，相当于1.5门普通课程的量，远超正常负荷。,课程负担 / Course Workload,工作量过大 / Excessive Workload,medium,yes,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,34
Yuanhang Yan,COMP2511,616,COMP2511-E019,作业隐藏测试用例极其严苛，代码正常运行也难拿高分，大部分人成绩中等。,作业评分标准 / Assignment Grading Criteria,藏测试严苛致高分困难 / Strict Hidden Tests Make High Scores Difficult,medium,yes,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,35
Yuanhang Yan,COMP2511,616,COMP2511-E020,期末卷面必须考到40分以上（Double Pass），不然平时分再高也得挂,考核门槛 / Assessment Hurdle,期末双重通过门槛 / Final Exam Double Pass Hurdle,medium,yes,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,36
Yuanhang Yan,COMP2511,616,COMP2511-E021,期末考试题量极大，多数学生无法完成全部题目，必须战略性取舍,考试时间与题量 / Exam Time & Volume,题量过大难完成 / Excessive Exam Volume Leads to Incompletion,medium,yes,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,37
Yuanhang Yan,COMP2511,616,COMP2511-E022,课程默认学生已熟练掌握Java，课堂上不会补充基础，若前置能力不足极易跟不上。,前置知识预期 / Prerequisite Expectation,前置知识预期 / Prerequisite Expectation,medium,yes,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,38
Yuanhang Yan,COMP2511,1102,COMP2511-E023,作业隐藏测试严苛且代码细节繁琐，需反复打磨，过程折磨。,作业评分与细节 / Assignment Grading & Detail,隐藏测试严苛与细节繁琐 / Strict Hidden Tests & Tedious Code Details,medium,yes,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,39
Yuanhang Yan,COMP2511,1102,COMP2511-E024,课程对 Java 编程和软件设计能力要求较高，基础不足的学生易感困难。,前置技能 / Prerequisite Skills,高Java与设计能力要求 / High Java & Design Proficiency Required,medium,yes,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,40
Yuanhang Yan,COMP1511,11,COMP1511-E001,课程节奏紧凑（9周+flex），零基础学生在中后期可能感到较大压力，存在跟不上进度的风险。,学习进度与基础要求 / Learning Pace & Foundation Requirement,零基础学生中后期吃力 / Zero-Basis Students Struggle in Later Stages,low,no,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,41
Yuanhang Yan,COMP1511,11,COMP1511-E002,进入数组、指针、链表等主题后，许多学生开始感觉吃力，若平时缺乏动手练习极易掉队。,内容难度爬升 / Content Difficulty Spike,内容难度爬升 / Content Difficulty Spike,low,no,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,42
Yuanhang Yan,COMP1511,11,COMP1511-E003,期末考试设有40%的最低正确率通过门槛（hurdle），且部分题目涉及后期课程的超纲内容，对普通学生形成额外挑战。,考核门槛与超纲 / Exam Hurdle & Out-of-Scope Content,考试双重障碍（hurdle + 超纲题）/ Exam Hurdle with Advanced Topics,medium,yes,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,43
Yuanhang Yan,COMP1511,27,COMP1511-E004,作业无法靠临时突击完成，临时抱佛脚只能完成约80%，需要持续投入时间和精力才能通过。,作业要求 / Assignment Requirements,作业要求 / Assignment Requirements,low,no,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,44
Yuanhang Yan,COMP1511,27,COMP1511-E005,获得HD高分需要大量时间投入，尤其在作业上，对追求高分的学生构成额外负担。,高分难度 / High Distinction Difficulty,HD需额外大量时间投入 / HD Requires Significant Extra Time Investment,low,no,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,45
Yuanhang Yan,COMP1511,36,COMP1511-E006,课程教学曲线不平滑，难度起伏像过山车，学习过程倍感头痛，对编程小白是“当头棒喝”。,课程教学曲线不平滑，难度起伏像过山车，学习过程倍感头痛，对编程小白是“当头棒喝”。,教学曲线陡峭不平滑 / Uneven & Steep Learning Curve,medium,yes,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,46
Yuanhang Yan,COMP1511,36,COMP1511-E007,课程作为第一道分水岭，导致大量跟随潮流或信心不足的学生放弃计算机专业，退课率高且产生学费损失。,学生流失 / Student Attrition,高退课/转专业率与学费损失 / High Dropout/Transfer Rate & Tuition,high,yes,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,47
Yuanhang Yan,COMP1511,267,COMP1511-E008,课程进度极快，9周内从Hello World推进到双链表，零基础学生感到非常痛苦，难以跟上。,课程进度 / Course Pace,进度过快致零基础学生痛苦 / Excessively Fast Pace for Beginners,medium,yes,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,48
Yuanhang Yan,COMP1511,267,COMP1511-E009,零基础学生若想在学期中跟上进度，必须在假期提前预习，否则容易掉队。,前置准备 / Prerequisite Preparation,必须假期预习才能跟上 / Vacation Pre-study Required to Keep Up,low,no,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,49
Yuanhang Yan,COMP1511,283,COMP1511-E010,课程对没有任何编程基础的学生难度较高甚至很高，可能带来较大初始挫折感。,入门难度 / Entry Difficulty,零基础学生面临较高入门难度 / High Entry Barrier for Complete Beginners,low,no,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,50
Yuanhang Yan,COMP1511,413,COMP1511-E011,零基础学生学习 C 语言会感到基础内容尖锐且不宽容，这门课不适合作为拉高平均分（WAM）的课程，可能影响整体成绩。,成绩影响 / Grade Impact,不适合作为刷分课 / Not a WAM Booster,medium,yes,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,51
Yuanhang Yan,COMP1511,614,COMP1511-E012,课程使用 MOSS 查重系统，AI 生成的代码若被判定违规，直接零分且无申诉机会，对学术诚信要求极为严格。,学术诚信与查重 / Academic Integrity & Plagiarism Detection,AI 查重零分且不可申诉 / Zero Score for AI-Detected Code with No Appeal,high,yes,evidence_units_Yuanhang_Yan(2).csv,utf-8-sig,52
