annotator_id,course_code,course_title_en,gold_risk_id,risk_label,risk_description,risk_severity,supporting_comment_ids,supporting_evidence_ids,support_count,is_low_frequency_risk,is_critical_risk,_source_file,_source_encoding,_source_row
Yuanhang Yan,COMP2521,Data Structures and Algorithms,COMP2521-R001,高挂科率与课程通过难度过高 / High Failure Rate & Excessive Course Difficulty,多名学生反映该课程挂科率极高，被形容为“无法逾越的大山”直接导致学生转专业或转学。,medium,"233, 1025, 1033",COMP2521-E010，COMP2521-E001COMP2521-E002,3,no,yes,course_gold_risks_Yuanhang_Yan(2).csv,utf-8-sig,2
Yuanhang Yan,COMP2521,Data Structures and Algorithms,COMP2521-R002,期末考试多重通过障碍与线下编程压力 / Multiple Final Exam Hurdles & High-Stakes In-Person Coding,期末笔试设有三个独立通过门槛（总分≥18、理论部分≥25%、实践部分≥25%），且线下编程考试难度极大，即使平时满分的学生也感到困难；历年题目难度波动显著，个别学期远高于往年。,high,"523, 1025, 524",COMP2521-E008 ，COMP2521-E009，COMP2521-E011,3,no,yes,course_gold_risks_Yuanhang_Yan(2).csv,utf-8-sig,3
Yuanhang Yan,COMP2521,Data Structures and Algorithms,COMP2521-R003,COMP2521-E011,课程使用C语言讲授，知识量和编程量均很大，学生面临持续的学习负担，若基础薄弱会在实现和调试上消耗大量时间。,medium,"523, 1110",COMP2521-E007，COMP2521-E013，COMP2521-E015,2,no,yes,course_gold_risks_Yuanhang_Yan(2).csv,utf-8-sig,4
Yuanhang Yan,COMP2521,Data Structures and Algorithms,COMP2521-R004,高权重持续作业与DDL集中风险 / High-Weight Continuous Assignments & Deadline Clusters,作业要求持续提交，部分作业权重高达25%，且与第10周前后其他课程DDL高度叠加，拖延极易导致挂科。,medium,"1110, 1042",COMP2521-E014，COMP2521-E012,2,no,yes,course_gold_risks_Yuanhang_Yan(2).csv,utf-8-sig,5
Yuanhang Yan,COMP2521,Data Structures and Algorithms,COMP2521-R005,考核标准严于同类型院校 / Excessively Strict Grading Compared to Peer Institutions,横向对比显示，相同背景的学生在本校挂科后转入其他大学同类课程却能获得高分（HD），反映本课程评分标准或难度显著高于同类院校，加重学生挫败感与流失风险。,medium,223,COMP2521-E003,1,no,yes,course_gold_risks_Yuanhang_Yan(2).csv,utf-8-sig,6
Yuanhang Yan,COMP2511,Software Design and Architecture,COMP2511-R001,严苛的评分体系与高风险的考核门槛 / Harsh Grading System & High-Stakes Assessment Hurdles,课程存在多项导致大面积挂科和不公平感的考核机制：期末占总分50%且设有卷面≥40分的双通过门槛，隐藏测试用例极为严苛使代码正常运行仍难获高分，作业评分主观性强，且普遍不进行分数调分，即便平时成绩优秀也有挂科风险。,high,"301, 616, 1102, 389",COMP2511-E020 COMP2511-E019 COMP2511-E023 COMP2511-E008 COMP2511-E004 COMP2511-E006,4,no,yes,course_gold_risks_Yuanhang_Yan(2).csv,utf-8-sig,7
Yuanhang Yan,COMP2511,Software Design and Architecture,COMP2511-R002,超负荷的工作量与默认精通Java的前置鸿沟 / Excessive Workload & Assumed Java Proficiency Gap,课程工作量相当于1.5门课，内容在给定时间内难以完成；授课默认学生已精通Java，不补充基础，对设计和理论熟练度要求高，作业难度与压力极大，期末考试题量过多导致多数人无法做完，整体学习负担极易压垮基础薄弱学生。,high,"522, 418, 616, 519, 1102, 144, 142, 419, 301",COMP2511-E001 COMP2511-E002  COMP2511-E005  COMP2511-E010   COMP2511-E014 COMP2511-E017  COMP2511-E018    COMP2511-E021  COMP2511-E024,9,no,yes,course_gold_risks_Yuanhang_Yan(2).csv,utf-8-sig,8
Yuanhang Yan,COMP2511,Software Design and Architecture,COMP2511-R003,讲师表达与行政管理问题 / Lecturer Delivery & Administrative Issues,讲师口音较重影响内容理解，课程行政管理曾出现混乱，一定程度上干扰正常学习节奏，但该问题可能随学期和讲师安排变化而波动。,medium,"389, 418",COMP2511-E007  COMP2511-E009,2,yes,no,course_gold_risks_Yuanhang_Yan(2).csv,utf-8-sig,9
Yuanhang Yan,COMP1511,Programming Fundamentals,COMP1511-R001,高退课率与专业分水岭效应 / High Dropout Rate & Major Watershed Effect,高退课率与专业分水岭效应 / High Dropout Rate & Major Watershed Effect,high,36,COMP1511-E007,1,yes,yes,course_gold_risks_Yuanhang_Yan(2).csv,utf-8-sig,10
Yuanhang Yan,COMP1511,Programming Fundamentals,COMP1511-R002,零基础学生面临的极快进度与陡峭学习曲线 / Excessively Fast Pace & Steep Learning Curve for Beginners,课程在9周内从 Hello World 推进到双链表，教学难度起伏剧烈，零编程基础的学生在中后期普遍感到痛苦吃力，往往需要在假期提前预习才能勉强跟上进度。,medium,"36, 267, 11, 15",COMP1511-E006   COMP1511-E008   COMP1511-E001   COMP1511-E002   COMP1511-E009,4,no,yes,course_gold_risks_Yuanhang_Yan(2).csv,utf-8-sig,11
Yuanhang Yan,COMP1511,Programming Fundamentals,COMP1511-R003,严格的考核障碍与学术诚信零容忍 / Strict Assessment Hurdles & Zero-Tolerance Academic Integrity,期末考试设有40%最低正确率的通过门槛，部分题目涉及后期课程的超纲内容；MOSS查重系统对AI生成代码零容忍，判定违规直接零分且不可申诉；考试中对边界条件和空指针检查极为严格，逻辑正确但遗漏一处NULL检查仍会失分。,high,"11, 614",COMP1511-E003 COMP1511-E012   COMP1511-E015,2,,,course_gold_risks_Yuanhang_Yan(2).csv,utf-8-sig,12
Yuanhang Yan,COMP9517,Computer Vision,COMP9517-R001,近期新增双重通过门槛（Double Pass） / Newly Added Double Pass Hurdle,课程在近期引入了 Double Pass 要求（如期末必须达到一定分数线），不能再凭借过往“水课”印象轻视复习，否则可能直接挂科。,high,课程在近期引入了 Double Pass 要求（如期末必须达到一定分数线），不能再凭借过往“水课”印象轻视复习，否则可能直接挂科。,COMP9517-E004,6,yes,yes,course_gold_risks_Yuanhang_Yan(2).csv,utf-8-sig,13
Yuanhang Yan,COMP9517,Computer Vision,COMP9517-R002,历史曾出现选择题答错倒扣分 / Historical Negative Marking for MCQ,期末考试曾实行过选择题答错倒扣总分的机制，虽然后来因学生强烈反对可能已取消，但选课前仍需确认现行考核规则，以免因特殊扣分机制影响成绩。,medium,342,COMP9517-E002,1,yes,no,course_gold_risks_Yuanhang_Yan(2).csv,utf-8-sig,14
Yuanhang Yan,COMP9517,Computer Vision,COMP9517-R003,小组项目两人组队负担较重 / Heavy Workload for Two-Person Group Project,课程小组项目若为两人组队，代码实现部分可能带来较大压力，对时间管理和协作要求较高，尤其叠加其他作业截止日期时容易被动。,medium,989,COMP9517-E003,1,yes,no,course_gold_risks_Yuanhang_Yan(2).csv,utf-8-sig,15
Yuanhang Yan,COMP6771,Advanced C++ Programming,COMP6771-R001,极高课程难度与高挂科风险 / Extreme Difficulty & High Failure Risk,课程被普遍称为“C++地狱”，除第一节课外全程聚焦高级特性，无循序渐进；考试涉及底层实现细节（如vtable）；大量学生表示这是唯一一门担心挂科的课，即便有基础也感到极大压力。,high,"190, 1011, 192, 1011, 1011",COMP6771-E001    COMP6771-E011    COMP6771-E012   COMP6771-E015,5,no,yes,course_gold_risks_Yuanhang_Yan(2).csv,utf-8-sig,16
Yuanhang Yan,COMP6771,Advanced C++ Programming,COMP6771-R002,严苛且多变的考试门槛与评分政策 / Harsh & Unstable Exam Hurdles and Grading Policies,课程设有双通过（double pass）或考试hurdle，规则不稳定（最初要求50%后才降为约30%）；考试编译错误直接零分；编程题时间极紧，多数学生无法完成，且考试内容深度远超课件，需额外深度自学；期末为线下手写大型编程题。,high,"190, 571, 1028, 1020, 308, 571, 1028, 1020",COMP6771-E002   COMP6771-E019   COMP6771-E016   COMP6771-E008    COMP6771-E020  COMP6771-E021    COMP6771-E003   COMP6771-E008,8,no,yes,course_gold_risks_Yuanhang_Yan(2).csv,utf-8-sig,17
Yuanhang Yan,COMP6771,Advanced C++ Programming,COMP6771-R003,高负荷作业与严苛评分 / Heavy Workload & Strict Grading,作业代码量庞大（500-1000行），且需自行编写测试；助教对代码格式和细节扣分极为严厉，使用AI辅助也可能被严苛扣分，导致投入大量时间却难以获得理想分数。,medium,"571, 1011, 1028",COMP6771-E005   COMP6771-E006   COMP6771-E007   COMP6771-E013   COMP6771-E022,3,no,no,course_gold_risks_Yuanhang_Yan(2).csv,utf-8-sig,18
Yuanhang Yan,COMP6771,Advanced C++ Programming,COMP6771-R004,高前置门槛与自主学习要求 / High Prerequisites & Self-Learning Burden,课程默认学生已有C/Java基础，零基础或转码者极难跟上；讲师英语表达有时增加理解负担；核心练习题不计分不强制，容易被忽视但却是掌握课程的关键，对学生自律性要求极高。,medium,"993, 1011",COMP6771-E009   COMP6771-E010   COMP6771-E014,2,no,no,course_gold_risks_Yuanhang_Yan(2).csv,utf-8-sig,19
Yuanhang Yan,COMP6771,Advanced C++ Programming,COMP6771-R005,历史考试公平性事件 / Historical Exam Integrity Incidents,曾出现过教师将旧题库用作样题导致部分学生直接抄袭的事故，以及要求公开cheatsheet被指变相助长组队作弊，反映考试管理曾存漏洞。,low,"308, 1020",COMP6771-E004   COMP6771-E017,2,yes,no,course_gold_risks_Yuanhang_Yan(2).csv,utf-8-sig,20
Yuanhang Yan,COMP6443,Web Application Security and Testing,COMP6443-R001,过量报告与写作负担 / Excessive Report & Writing Workload,课程作业以大量渗透测试报告和挑战任务为主，技术难度不高但数量庞大，学生普遍反映“一直在写”“写晕了”，时间投入远超预期，易导致进度落后和持续疲惫。,medium,"141, 143, 145, 158, 1058",COMP6443-E001  COMP6443-E002   COMP6443-E003    COMP6443-E005  COMP6443-E006,5,no,yes,course_gold_risks_Yuanhang_Yan(2).csv,utf-8-sig,21
Yuanhang Yan,COMP6443,Web Application Security and Testing,COMP6443-R002,得分难度高与评分主观性强 / High Scoring Difficulty & Subjective Grading,课程不适合追求轻松高分的学生，付出大量努力后仍可能因未摸清不同tutor的评分偏好而得到低分，评分的透明度和一致性存在不足。,medium,"145, 1065",COMP6443-E009   COMP6443-E003,2,no,yes,course_gold_risks_Yuanhang_Yan(2).csv,utf-8-sig,22
Yuanhang Yan,COMP6443,Web Application Security and Testing,COMP6443-R003,小组作业组员依赖风险 / Teammate Dependency Risk in Group Assignments,小组作业需组队完成渗透测试报告，对组员的能力和投入度要求较高，组员质量直接影响最终成绩，且需配合辅导课才能更好地把握评分要点。,medium,"1065, 1080",COMP6443-E008    COMP6443-E011,2,no,yes,course_gold_risks_Yuanhang_Yan(2).csv,utf-8-sig,23
Yuanhang Yan,COMP3411,Artificial Intelligence,COMP3411-R001,内容严重过时且缺乏现代实用价值 / Outdated Content Lacking Modern AI Relevance,课程内容停留在早期 AI 概念，完全缺失 Transformer 等现代技术，被评价为“又难又没用”，投入大量时间却难以获得实用的前沿技能，对就业和科研帮助有限。,high,128,COMP3411-E001   COMP3411-E002,1,yes,yes,course_gold_risks_Yuanhang_Yan(2).csv,utf-8-sig,24
Yuanhang Yan,COMP3411,Artificial Intelligence,COMP3411-R002,risk_label: 期末 Double Pass 导致的高挂科风险 / High Failure Risk Due to Final Exam Double Pass,课程设有双重通过门槛，期末考试一旦表现不佳，即使平时成绩尚可也直接挂科，容错率极低，给备考和心理带来极大压力。,high,130,COMP3411-E004,1,yes,yes,course_gold_risks_Yuanhang_Yan(2).csv,utf-8-sig,25
Yuanhang Yan,COMP3411,Artificial Intelligence,COMP3411-R003,不同讲师考核与教学风格差异巨大，部分讲师采用倒扣分机制 / Extreme Lecturer Variability with Harsh Grading Policies,讲师更换可能导致判若两门课：部分讲师（如 ww）出题不合理且选择题答错倒扣分，严重损害公平性；另有讲师作业极难（Alan），选错讲师会大幅增加挂科概率和精力消耗。,high,561,COMP3411-E009   COMP3411-E010,1,yes,yes,course_gold_risks_Yuanhang_Yan(2).csv,utf-8-sig,26
Yuanhang Yan,COMP3411,Artificial Intelligence,COMP3411-R004,"课程难度近年明显上升，不再为“水课” / Significant Difficulty Increase, No Longer a ""WAM Booster""",过去被视为容易通过的水课，但课改后难度提升，内容和考核趋于严格，不能依赖旧有经验选课，否则可能遭遇预期之外的困难。,medium,341   387,COMP3411-E007     COMP3411-E006,2,no,yes,course_gold_risks_Yuanhang_Yan(2).csv,utf-8-sig,27
Yuanhang Yan,COMP3411,Artificial Intelligence,COMP3411-R005,内容广而不深，仅作概览式介绍 / Broad but Shallow Coverage,课程涵盖 AI 多个领域，但每个主题仅浅尝辄止，缺乏深入的理论或项目训练，可能无法满足想深入理解某一子领域同学的需求，收获感有限。,medium,132,COMP3411-E005,1,yes,no,course_gold_risks_Yuanhang_Yan(2).csv,utf-8-sig,28
Yuanhang Yan,COMP4920,Professional Issues and Ethics in Information Technology,COMP4920-R001,期末线下手写论文高门槛与巨额写作量 / Unreasonable Handwritten Essay Exam with High Hurdle,课程改革后，期末改为线下闭卷手写论文考试，要求 1 小时 50 分钟内完成约 3200 词纯英文写作，且设置强制通过门槛（hurdle）。该要求极难达成，几乎必然导致大量学生无法完成或挂科，考试形式与工作量严重脱离实际学习目标。,high,"568, 1136",COMP4920-E007    COMP4920-E006,2,no,yes,course_gold_risks_Yuanhang_Yan(2).csv,utf-8-sig,29
Yuanhang Yan,COMP4920,Professional Issues and Ethics in Information Technology,COMP4920-R002,评分高度主观与随意 / Highly Subjective and Arbitrary Grading,课程由不同 tutor 评分，标准不统一，存在“抠门”和“随心所欲”的现象。tutor 个人偏好甚至非计算机背景可能严重影响分数，付出大量努力却得不到公平回报，学生成绩可控性极低。,high,"12, 425",COMP4920-E004   COMP4920-E003,2,no,yes,course_gold_risks_Yuanhang_Yan(2).csv,utf-8-sig,30
Yuanhang Yan,COMP9444,Neural Networks and Deep Learning,COMP9444-R001,期末考试选择题答错倒扣分机制 / Negative Marking for MCQ in Final Exam,期末考试实行选择题答错倒扣总分的惩罚性计分规则，答错不仅不得分还会额外扣分，极大增加不确定性，可能导致平时表现尚可的学生因期末策略失误而大幅拉低总分甚至挂科。,high,137,COMP9444-E002,1,yes,yes,course_gold_risks_Yuanhang_Yan(2).csv,utf-8-sig,31
Yuanhang Yan,COMP9444,Neural Networks and Deep Learning,COMP9444-R002,"教学支持薄弱：反馈慢、沟通差、论坛无人管理 / Weak Teaching Support: Poor Feedback, Communication & Forum Moderation",作业反馈和邮件沟通不理想，课程论坛缺乏有效的教师或助教主动管理，学生遇到问题时难以及时获得帮助，容易陷入孤立状态，影响学习进度和作业质量。,medium,462,COMP9444-E003,1,yes,no,course_gold_risks_Yuanhang_Yan(2).csv,utf-8-sig,32
Yuanhang Yan,COMP9444,Neural Networks and Deep Learning,COMP9444-R003,体验与成绩严重依赖组员和tutor / Experience & Grade Heavily Dependent on Teammates and Tutor,小组项目是重要评分部分，课程体验和最终成绩高度依赖队友的能力与投入度，以及所分配 tutor 的评分松严标准。选到不合适的人可能导致本应轻松的课程付出不对等或拿到低于预期的分数。,medium,462,COMP9444-E003,1,yes,no,course_gold_risks_Yuanhang_Yan(2).csv,utf-8-sig,33
Yuanhang Yan,ECON1101,Microeconomics 1,ECON1101-R001,期末考试题量与时间严重不匹配，高分段门槛苛刻 / Mismatched Exam Volume & Time with Strict HD Threshold,线下期末考试题量巨大（如57题），每题平均仅约2分钟，且题目设计增加隐性耗时（如无图需自绘、数字需三位小数计算），要获得HD需答对约40题，对追求高分的学生极不友好，极易因时间不足而大幅失分。,high,297,ECON1101-E001      ECON1101-E002,1,yes,yes,course_gold_risks_Yuanhang_Yan(2).csv,utf-8-sig,34
Yuanhang Yan,ECON1101,Microeconomics 1,ECON1101-R002,"risk_label: 线下考试难度大幅提升，课程不再“水” / Significantly Harder Offline Exam, No Longer a WAM Booster",自2026 T1起，课程从线上考试转为线下，难度和压力显著增加，学生普遍反映“背刺”“不水了”，不再适合作为轻松刷分的自由选修课。若完全缺课，期末准备将极为困难。,high,"297, 786, 796",ECON1101-E003   ECON1101-E004    ECON1101-E007,3,no,yes,course_gold_risks_Yuanhang_Yan(2).csv,utf-8-sig,35
Yuanhang Yan,ECON1101,Microeconomics 1,ECON1101-R003,教学质量差，依赖外部自学 / Poor Lecture Quality Requiring External Self-Study,课程lecture讲得太慢、教学质量被批评为差劲，学生建议通过YouTube等其他学校视频自学替代。依赖校内授课可能无法有效掌握知识，需额外投入大量自学时间。,medium,801,ECON1101-E008,1,yes,no,course_gold_risks_Yuanhang_Yan(2).csv,utf-8-sig,36
Yuanhang Yan,ECON1101,Microeconomics 1,ECON1101-R004,无官方样卷但考试依赖题库，备考资源不公平 / No Official Past Papers Despite Question Bank Reliance,学校不提供任何官方样卷或past paper，但期末考试从固定题库抽题导致题目高度同质化。能否获取非官方流传的往期试题成为通关关键，造成明显的信息不对称和不公平竞争，个别计算题表述存在歧义也增加了不确定性。,medium,808,ECON1101-E010   ECON1101-E011,1,yes,no,course_gold_risks_Yuanhang_Yan(2).csv,utf-8-sig,37
Yuanhang Yan,COMP9020,Foundations of Computer Science,COMP9020-R001,期末考试形式突变且含倒扣分机制 / Unpredictable Exam Format with Negative Marking,期末考试形式极不稳定，曾从传统大量证明题突变为30道选择题，且选择题答错倒扣分。学生若按旧经验备考将严重失误，倒扣分机制更会大幅拉低分数，导致直接挂科。,high,"41, 43, 49",COMP9020-E002   COMP9020-E004    COMP9020-E005  COMP9020-E011,3,no,yes,course_gold_risks_Yuanhang_Yan(2).csv,utf-8-sig,38
Yuanhang Yan,COMP9020,Foundations of Computer Science,COMP9020-R002,课程体验与成绩严重依赖授课讲师 / High Dependency on Lecturer for Experience & Grades,不同讲师在作业量、给分标准、考试形式和整体教学质量上差异极大，选错老师可能导致作业量暴增、考核机制严苛或教学效果差，体验两极分化严重。选课前必须调研当学期讲师安排。,high,"41, 45, 49",COMP9020-E003   COMP9020-E006    COMP9020-E011   COMP9020-E012,3,no,yes,course_gold_risks_Yuanhang_Yan(2).csv,utf-8-sig,39
Yuanhang Yan,COMP9020,Foundations of Computer Science,COMP9020-R003,大量证明题与后期工作量突增 / Heavy Proof Workload with Sudden Spike,课程以大量证明题为核心，每周需完成6-8道，要求学生从概念理解跨越到严格逻辑证明。且工作量并非均匀分布，后期会突然堆积，前期松懈极易导致期末前崩溃，考试时间也常严重不足。,medium,"41, 47, 1215, 1216",COMP9020-E001   COMP9020-E008   COMP9020-E009  COMP9020-E013   COMP9020-E014,4,no,yes,course_gold_risks_Yuanhang_Yan(2).csv,utf-8-sig,40
Yuanhang Yan,COMP9020,Foundations of Computer Science,COMP9020-R004,离散数学基础不足将导致困难 / Weak Discrete Math Background Leads to Struggle,课程要求从“知道概念”跃升到“写出严谨证明”，对离散数学基础薄弱的转码或非科班学生极不友好，前置知识不足会直接导致学习困难甚至挂科。,medium,"45, 49",COMP9020-E007    COMP9020-E010,2,no,no,course_gold_risks_Yuanhang_Yan(2).csv,utf-8-sig,41
Yuanhang Yan,FINS3633,Real Estate Finance,FINS3633-R001,线下闭卷考试依赖报班与题库原题 / Offline Closed-Book Exams Rely on Tutoring & Question Banks,课程quiz为线下闭卷考试，但据学生反馈，报班刷题可遇到大量原题从而轻松获取高分。若未通过特定渠道获取复习资源，仅靠课堂学习和自学可能难以在quiz中取得优势，存在信息不对称和不公平竞争。,medium,727,,1,yes,no,course_gold_risks_Yuanhang_Yan(2).csv,utf-8-sig,42
Yuanhang Yan,FINS3633,Real Estate Finance,FINS3633-R002,"个人作业需线下看房，流程繁琐 / Individual Assignment Requires Site Visits, Causing Extra Burden",占分40%的个人作业要求学生在realestate/domain平台预约并实地看房，流程相对繁琐且需额外安排时间，对时间紧张或多任务并行的学生可能造成一定负担。,low,727,,1,yes,no,course_gold_risks_Yuanhang_Yan(2).csv,utf-8-sig,43
Miris sjy,COMP6713,Natural Language Processing,COMP6713-R001,final和sample/quiz完全不一样，给的hint基本不搭边。,考试难，和例题不搭边,medium,,,,,,9417\course_gold_risks_Miris_sjy (2).csv,utf-8-sig,2
Miris sjy,COMP9417,Machine Learning,COMP9417-R001,数学深度深,对数学基础有一定要求，需要有一定数学基础。,low,,,,,,9417\course_gold_risks_Miris_sjy (2).csv,utf-8-sig,3
kreit,GSOE9820,Engineering Project Management,GSOE9820-R001,小组作业,project以小组作业为主，占总分比例高,medium,60，62，64，172，176，601，1208,GSOE9820-E006 ，GSOE9820-E003,7,,,GSOE9820\course_gold_risks_kreit.csv,utf-8-sig,2
kreit,COMM1150,Global Business Environments,COMM1150-R001,tutor,课程评分及体验受导师影响较大,medium,"830,837,842,848，854,861",,6,,,COMP3311\course_gold_risks_kreit.csv,utf-8-sig,3
kreit,COMM1150,Global Business Environments,COMM1150-R002,考试,课程考点多，且来源广,high,902，941,,2,no,yes,COMP3311\course_gold_risks_kreit.csv,utf-8-sig,4
kreit,COMP1521,Computer Systems Fundamentals,COMP1521-R001,课程衔接,作为基础课程，需要较好的编程背景，课程难度高，且校方的课程衔接存在问题,high,344，512，414，415,,4,no,yes,COMP3311\course_gold_risks_kreit.csv,utf-8-sig,5
kreit,COMP3121,Algorithm Design and Analysis,COMP3121-R001,课程安排,课程对英语口语和基础有要求,low,525,,1,no,yes,COMP3311\course_gold_risks_kreit.csv,utf-8-sig,6
kreit,COMP3121,Algorithm Design and Analysis,COMP3121-R002,难度大,作业量大，重视思维，容易出现回答预期和最后出来的成绩不匹配的情况,high,"1194,1118，525",,3,no,yes,COMP3311\course_gold_risks_kreit.csv,utf-8-sig,7
kreit,COMP3222,Digital Circuits and Systems,COMP3222-R001,难度,必修入门课，对其余课程支持性强，难度不低,medium,1195，1049，555，553,,4,no,yes,COMP3311\course_gold_risks_kreit.csv,utf-8-sig,8
kreit,COMP3311,Database Systems,COMP3311-R001,难度,补考人数众多，通过考试的难度较高,,"1055,558，391",,3,,,COMP3311\course_gold_risks_kreit.csv,utf-8-sig,9
